,name,category,latitude,longitude,distance_from_center_km
0,Parking Benavente,amenity,40.4144691,-3.7035492,0.47467660312801846
1,Farmacia la Latina,amenity,40.4117047,-3.7079389,0.4175729061252738
2,Room Mate Mario Hotel,tourism,40.4188562,-3.7093262,0.3875620983283284
3,McDonald's,amenity,40.4164064,-3.7049818,0.36100300256701257
4,Brasa y Leña,amenity,40.4162327,-3.7088498,0.09636791730292843
5,100 Montaditos,amenity,40.4136118,-3.7087304,0.19717663899694177
6,Peor Para El Sol,amenity,40.4167458,-3.7101814,0.18165655035062708
7,Evo Banco,amenity,40.4114612,-3.7094244,0.4358851347401592
8,El Viajero,amenity,40.4116487,-3.7101786,0.4253020816909821
9,Pez Tortilla,amenity,40.4118381,-3.7105359,0.4133195039106608
10,La Tomasa,amenity,40.41178,-3.7103837,0.4156596461912137
11,El Bonanno,amenity,40.4118652,-3.7106292,0.41302056366848855
12,Que trabaje Rita,amenity,40.412068,-3.7105933,0.39079231016675586
13,Cervecería San Andrés,amenity,40.4118925,-3.7109337,0.41950234804676273
14,Tío Timón,amenity,40.4131593,-3.7117469,0.3380023480612557
15,Taquería del Alamillo,amenity,40.4137154,-3.7127335,0.36541485529409384
16,"Librería ""Arranca Thelma""",shop,40.4135438,-3.7126525,0.36961938238683406
17,Bar Barocco,amenity,40.4130638,-3.7129344,0.42008539382632887
18,La Mayor,amenity,40.4151603,-3.7121513,0.2672394817946252
19,,amenity,40.4152258,-3.7125627,0.30154998386498205
20,Ssambar,amenity,40.4154876,-3.7111315,0.1800691865434465
21,Mercado Jamón Ibérico,shop,40.4153818,-3.7117251,0.23001062597799057
22,,amenity,40.4151444,-3.7118077,0.23838852799688565
23,Horno San Onofre,shop,40.4151983,-3.7116427,0.22386845790548435
24,Arcade,amenity,40.4152606,-3.7115508,0.21558437860409832
25,Cruz Blanca,amenity,40.4156653,-3.7102121,0.10661599390556577
26,Jiao Jiao,amenity,40.4155515,-3.7099687,0.08329869252480296
27,BBVA,amenity,40.4156013,-3.709523,0.049947528249394815
28,,amenity,40.4154788,-3.709488,0.04178689058271866
29,Taste Gallery,amenity,40.4153729,-3.7094547,0.03731093138560927
30,Los Austrias,amenity,40.4152466,-3.7094269,0.03770988129114357
31,Fredd Fredd,amenity,40.4156874,-3.7092708,0.041003768926887695
32,SuperSano,shop,40.4157426,-3.7092046,0.04396662721688422
33,Taberneros,amenity,40.4163669,-3.7104348,0.16331745814983445
34,Arbonaida,amenity,40.4164826,-3.7106873,0.18786742630608513
35,Parking Garaje Fermar,amenity,40.4167071,-3.7093428,0.1506102083458022
36,Velicia,amenity,40.416073,-3.7085285,0.08791250528364568
37,Santander,amenity,40.4160241,-3.7081195,0.1048217131951387
38,Banco Santander,amenity,40.4177059,-3.7084882,0.2627625974704438
39,Chocolatería San Ginés,amenity,40.4167707,-3.706803,0.2435156641066534
40,Yambala,amenity,40.4166338,-3.7069412,0.22483148261190003
41,La Caixa,amenity,40.4163626,-3.7068957,0.21072656360984338
42,Joy Eslava,amenity,40.4171402,-3.7064769,0.2913210304279064
43,Grazie Mille,amenity,40.4161161,-3.7075072,0.15220995047618435
44,,amenity,40.4162754,-3.7062395,0.25595358692371195
45,,amenity,40.4163439,-3.7059297,0.2831471247595035
46,Santander,amenity,40.4161692,-3.7057872,0.28783897604710584
47,Telebanco 4B,amenity,40.4163777,-3.7054341,0.3237193138249022
48,Burger King,amenity,40.4160273,-3.7050598,0.3434477752191311
49,KFC,amenity,40.4164854,-3.704493,0.403156712119359
50,BBVA,amenity,40.4165025,-3.7044352,0.40840821958066037
51,opera:pizza,amenity,40.4177493,-3.7089054,0.26391278158098264
52,,shop,40.4177572,-3.7092982,0.26571431742026014
53,,shop,40.4180474,-3.7087248,0.2978710579094618
54,,shop,40.4187713,-3.7088597,0.377464611028727
55,Entre suspiro y suspiro,amenity,40.4186369,-3.7090308,0.3623124308039678
56,,amenity,40.4187733,-3.7084425,0.3805718401619701
57,,amenity,40.4190867,-3.7083893,0.41566427658971145
58,Ópera Victoria,amenity,40.4185506,-3.7089327,0.3527963190393495
59,Discoteca Olimpia,amenity,40.4188918,-3.7086559,0.3918026156813472
60,Are you ready?,shop,40.4192196,-3.7081865,0.43276668475022534
61,Wok King,amenity,40.4195999,-3.7077336,0.4816839062318483
62,,shop,40.4196858,-3.7080852,0.4852437761247519
63,,shop,40.4191426,-3.7080551,0.4263224584795458
64,Locutorio,amenity,40.4190914,-3.7080699,0.4205018384326468
65,Taberna de los Ángeles,amenity,40.4186643,-3.7082433,0.3711782585653852
66,Hotel Preciados,tourism,40.4196853,-3.7074213,0.4974707589056141
67,Prep‘ la Crêpe,amenity,40.4196449,-3.7070086,0.5038896915569676
68,Cervercería Erte,amenity,40.4192413,-3.7074836,0.44866492658307483
69,,amenity,40.4189334,-3.7077233,0.4101590237484916
70,Palacio San Martín,tourism,40.4186548,-3.7066997,0.4139204062648528
71,Doña Juana cervecería,amenity,40.4190798,-3.7063377,0.4700647102280063
72,Viandas de Salamanca,shop,40.4187951,-3.704916,0.5151118144426093
73,Farmacia 24 horas,amenity,40.418129,-3.7046339,0.48150717392157744
74,Telebanco 4B,amenity,40.418096,-3.7041565,0.5112682145789262
75,Petit Palace Preciados,tourism,40.4181423,-3.7043155,0.503569341540775
76,Hotel Europa,tourism,40.4175269,-3.7035489,0.5218993695368972
77,,shop,40.4178368,-3.7034663,0.5445811940607332
78,Vianvi,amenity,40.4185047,-3.7034827,0.584226984906325
79,Hotel Liabeny,tourism,40.4187423,-3.7039628,0.5689948242787819
80,,amenity,40.4189528,-3.7035593,0.6101864997343835
81,Hotel Arosa,tourism,40.419776,-3.7031275,0.6990087780811751
82,,amenity,40.4191018,-3.7039069,0.599416477243869
83,Takos Al Pastor,amenity,40.418948,-3.7037389,0.5983479106590031
84,OVNI,amenity,40.4193676,-3.703326,0.6555796851506079
85,,amenity,40.4193117,-3.7040573,0.6068224450751546
86,Hotel II Castillas,tourism,40.4192335,-3.7043567,0.5830752695212433
87,Rodilla,amenity,40.4194819,-3.7058085,0.5311590204139565
88,Centro Privado de Formación Profesional Específica Teide II,amenity,40.4157649,-3.7091042,0.044049447248195914
89,Antiguo Centro de Estudios Sol,amenity,40.4115325,-3.7067618,0.46749227226151735
90,Centro Privado de Formación Profesional Específica Centro de Formación Técnica,amenity,40.4148943,-3.7035557,0.4664167366068859
91,Kebab Grill & Pizza,amenity,40.4193473,-3.7080096,0.4493722624998254
92,San Bruno,amenity,40.4127776,-3.7076389,0.3110840814319467
93,Can Punyetes,amenity,40.4159664,-3.710711,0.15825223704290564
94,A los héroes del 2 de mayo 1808,historic,40.4186464,-3.7132927,0.5136522566280097
95,Aparcamiento Plaza del Carmen,amenity,40.4186092,-3.7031858,0.6114098513341475
96,,amenity,40.4185115,-3.7114848,0.4065810666620594
97,,amenity,40.4181408,-3.7063436,0.3818307609064005
98,,amenity,40.4183703,-3.7071751,0.36753340433008347
99,,amenity,40.4180236,-3.7067479,0.35154609997571784
100,,amenity,40.4180626,-3.7115374,0.36735905351332154
101,,amenity,40.4184039,-3.7113577,0.39079405319455074
102,Parking Plaza de Oriente,amenity,40.4170962,-3.7129861,0.3875016809927857
103,,amenity,40.4146104,-3.710869,0.17874659377155142
104,Parking Plaza Mayor,amenity,40.4151678,-3.7072429,0.152148717134593
105,,amenity,40.4159676,-3.7033376,0.48635692113910073
106,,amenity,40.4135156,-3.7058882,0.3361920883741454
107,La Mallorquina,shop,40.4166278,-3.7047732,0.38600285655110783
108,Museo del Jamón,amenity,40.4163433,-3.7056737,0.30333088534627783
109,Chiquita,amenity,40.4158038,-3.7060361,0.25730232465151154
110,Bar Postas Cervecería,amenity,40.4158574,-3.7059152,0.26851822714726814
111,Barra,amenity,40.4158992,-3.7058118,0.27805875765086496
112,Banco Santander,amenity,40.4162686,-3.7053452,0.32693172034256784
113,Botín,amenity,40.4141745,-3.707981,0.15952259589488138
114,La Taberna de la Daniela,amenity,40.4144651,-3.7079513,0.13542772761726177
115,Centro de Turismo Plaza Mayor,tourism,40.4158291,-3.7073999,0.14610244364296224
116,Petit Palace Posada del Peine,tourism,40.4156823,-3.7060457,0.2543378786153165
117,BBVA,amenity,40.4164841,-3.70436,0.4138744991120489
118,Las Cuevas de Luis Candelas,amenity,40.4148583,-3.7081461,0.09338338025249804
119,Teatro Muñoz Seca,amenity,40.4183658,-3.7032747,0.5896828348938005
120,The Cortezo,tourism,40.4136556,-3.7034629,0.5084153625591014
121,Parking Plaza de las Descalzas,amenity,40.4182133,-3.7066603,0.3732822769243599
122,Estatua de la Mariblanca,tourism,40.4168623,-3.7045528,0.4132131670607433
123,Kilómetro Cero,historic,40.4166314,-3.7038148,0.46292222808539674
124,,shop,40.4142649,-3.7031442,0.5132887599835364
125,Capilla del Ave María,amenity,40.4138716,-3.7038321,0.47048376651763946
126,Cruceiro Gallego,tourism,40.4146957,-3.7034702,0.4766121763743053
127,Lidl,shop,40.4125936,-3.7045819,0.48673361576431623
128,,shop,40.4169806,-3.7050633,0.3798912730165507
129,,amenity,40.4124138,-3.704267,0.5200628939085851
130,,tourism,40.4126365,-3.7041269,0.5143385152658265
131,Felipe IV,tourism,40.4183306,-3.7121931,0.42488880694186193
132,1880,shop,40.4119906,-3.7121807,0.4618996704973453
133,Musashi,amenity,40.4190028,-3.7077991,0.4159473078964167
134,Casa Parrondo,amenity,40.4189153,-3.7074588,0.41481573858030524
135,El Chulo,amenity,40.4197091,-3.7088582,0.4815541142120593
136,Tim Hortons,amenity,40.4196694,-3.7079285,0.4857953428233104
137,Monumento a Larra,tourism,40.4158347,-3.7131983,0.35870953377285225
138,Ruinas del Ábside de la Iglesia de Nuestra Señora de la Almudena,historic,40.4152461,-3.7130156,0.33983687571460514
139,Monumento en Memoria de las Víctimas del atentado contra SS.MM. D. Alfonso XIII y D.ª Victoria Eugenia,historic,40.4150532,-3.7123897,0.28862521714067857
140,Cabo Luis Noval,historic,40.4191745,-3.7121002,0.496637339812736
141,Farmacia de la Paloma,amenity,40.4123846,-3.7079341,0.3444080658805607
142,Dia & Go,shop,40.413196,-3.7076085,0.2697224201161483
143,,amenity,40.4139916,-3.708245,0.1668517793725839
144,,amenity,40.4137129,-3.7085528,0.18859100555956665
145,Hola Madrid,shop,40.4144118,-3.7074659,0.169432501598789
146,,amenity,40.4123053,-3.707823,0.3554716010967789
147,,amenity,40.4117143,-3.7081627,0.41278342135299895
148,,shop,40.4111674,-3.7082318,0.47183034474025615
149,,amenity,40.4111873,-3.70864,0.4660019304016399
150,,amenity,40.4116041,-3.7106837,0.4419379970092216
151,,amenity,40.4138099,-3.7090832,0.17378899525993907
152,,amenity,40.4117958,-3.7103494,0.4131679115535681
153,,amenity,40.4155688,-3.7094878,0.045574515307112005
154,,leisure,40.412355,-3.7039023,0.548368629654601
155,Marbella,amenity,40.4110137,-3.7048963,0.597205126547311
156,,amenity,40.4110807,-3.7064078,0.5256084587769919
157,Ok Hostel Madrid,tourism,40.4111834,-3.7067753,0.5026805746267027
158,Nanyea,shop,40.4118363,-3.7072181,0.42141617720025376
159,,amenity,40.4171566,-3.711899,0.31478214035622465
160,La Cueva de La Tina,amenity,40.4136604,-3.707795,0.21664627586356458
161,Carol House,amenity,40.4109033,-3.707633,0.510120641303099
162,,shop,40.4109702,-3.708101,0.4951369234953579
163,La Cava de Illán,amenity,40.4129955,-3.708661,0.2658303609376012
164,Dia,shop,40.411075,-3.7083931,0.48029349271625404
165,Mariano,amenity,40.4117813,-3.7053261,0.5071503974132441
166,Taberna Antonio Sánchez,amenity,40.4111122,-3.7048589,0.5902636115044566
167,VietNails,shop,40.4113511,-3.707554,0.4636183117286108
168,ONCE,shop,40.4114973,-3.7071069,0.4599490293630226
169,San Millán,amenity,40.4113326,-3.7079597,0.45763153559909225
170,El Jardín del Convento,shop,40.4146902,-3.7102736,0.1310594369806296
171,Residencia Álvaro,tourism,40.4134019,-3.7048956,0.41256681390704003
172,Cervecería La Plaza,amenity,40.4156034,-3.7092267,0.031158552735467766
173,El Mollete,amenity,40.4198376,-3.7105593,0.5126736493246085
174,Alimentación y Bazar,shop,40.4109173,-3.7079535,0.5030304479396539
175,Luzmovil,shop,40.4109462,-3.7080342,0.4986843842433957
176,,shop,40.4109757,-3.7084787,0.4905270945948385
177,Beerhouse,amenity,40.4108979,-3.7078995,0.5059876296787885
178,Cascorro,amenity,40.4111073,-3.7074118,0.4929520539727941
179,sin tarima,shop,40.4109611,-3.7077678,0.5013363434290995
180,Peluquería 21,shop,40.4111487,-3.7074087,0.488608527645004
181,Marisquería G. Castellano,shop,40.411009,-3.7079077,0.49374116083038894
182,Ferretería Hoyos,shop,40.4110324,-3.7074309,0.5005132773167194
183,,shop,40.4113636,-3.7073782,0.46650537058958064
184,El Sótano,amenity,40.4109398,-3.7077053,0.5047901797566802
185,Peluquería,shop,40.4109892,-3.7078499,0.49685298653521703
186,Royal Crown,amenity,40.411183,-3.7079988,0.4733172631433319
