,name,category,latitude,longitude,distance_from_center_km
0,Ohaley Yaakov,amenity,48.8792943,2.3753509,0.49575179953893167
1,Kaskad' Café,amenity,48.8827101,2.3828955,0.35569945336540243
2,Le Murger,amenity,48.8786905,2.3756006,0.48619267309945696
3,,amenity,48.8785863,2.3753228,0.5085114590732346
4,En Tête à Tête,shop,48.8784432,2.3755154,0.49842264079128173
5,,tourism,48.8787433,2.3802759,0.16129480736017282
6,Belvédère de la Sibylle,tourism,48.8810863,2.3830748,0.18473358548366478
7,,tourism,48.8773262,2.3756412,0.534560145422636
8,L'Escargot,amenity,48.877031,2.3879568,0.5132812589422905
9,,amenity,48.8762259,2.3805426,0.3874159978233142
10,,amenity,48.8778734,2.3812441,0.1972314824921775
11,,amenity,48.8777466,2.3856191,0.32732974992374775
12,,amenity,48.8791833,2.3858327,0.27702236079428766
13,Chérie Coco,amenity,48.8758235,2.3834309,0.42633969523829907
14,Les Buttes Chaumont,amenity,48.8753855,2.3823708,0.4641211510238472
15,,amenity,48.8755332,2.3832256,0.4548455861529954
16,,amenity,48.8756795,2.3830762,0.4369246439508659
17,,amenity,48.8830418,2.379942,0.41875813984938387
18,,amenity,48.8839958,2.3777391,0.5882993176457003
19,,amenity,48.8839652,2.3778055,0.5828004110811493
20,Rosa Bonheur,amenity,48.8799811,2.3862299,0.3067314621266672
21,Le Marigny,amenity,48.8826683,2.3813647,0.35036608313133516
22,La Poste Paris Laumière,amenity,48.8834402,2.3812864,0.43613549030052107
23,Sushi Tokyo,amenity,48.88305,2.3825427,0.39002386573858644
24,Hello Momo,amenity,48.883899,2.3840751,0.5043651574934389
25,Bulle,shop,48.8830039,2.3824546,0.3844219995045431
26,Renault Garage Saint-Georges Agent,shop,48.8794027,2.3769111,0.3808416269467782
27,Chez Paco,shop,48.8765513,2.3769448,0.5044524969017736
28,École Élémentaire Simon Bolivar,amenity,48.8763168,2.3770933,0.514256135748424
29,La baguette des Pyrénées,shop,48.8752451,2.3825309,0.4803534474800486
30,Les halles Bolivar,shop,48.8755962,2.3821024,0.4402589467063434
31,Franprix,shop,48.8759602,2.3823956,0.40037409683123876
32,L'estampe,amenity,48.8794337,2.388445,0.4657217946702947
33,,amenity,48.8793808,2.384428,0.171982429132143
34,Auchan,shop,48.8783342,2.3857466,0.3000791407974074
35,,amenity,48.8785873,2.3856381,0.28106974367097687
36,Mairie du 19e,amenity,48.8827543,2.3814269,0.35916571003540354
37,Lycée général et technologique Henri Bergson,amenity,48.8811978,2.3776297,0.37522327896553065
38,,amenity,48.8827477,2.3817574,0.3559196830776264
39,,amenity,48.8806863,2.3876282,0.4246701736388082
40,BTS Henri Bergson,amenity,48.8824947,2.3773446,0.47794239219085444
41,,shop,48.8758973,2.3810369,0.41415639338020144
42,McDonald's,amenity,48.8833178,2.3854424,0.4850311311636675
43,,amenity,48.8787248,2.3782991,0.293558602277348
44,,amenity,48.8780061,2.3782181,0.3326740445600442
45,Société Générale,amenity,48.8765231,2.3790741,0.4036017243591721
46,LCL,amenity,48.8823953,2.3814541,0.31936482896691365
47,Pharmacie de la Mairie,amenity,48.8824225,2.381271,0.3245968111283217
48,Sai Alimentation,shop,48.8824419,2.380823,0.33438089807960863
49,,amenity,48.879269,2.3823512,0.03683275936884831
50,,amenity,48.8830276,2.3814278,0.38928570731923695
51,,amenity,48.8786146,2.3782561,0.3005958936190814
52,,amenity,48.8835072,2.3834697,0.45086778637342567
53,Itzik,amenity,48.879288,2.3773054,0.35279620907155507
54,Bar de la Piscine,amenity,48.8831686,2.3884311,0.6141922616090865
55,Sma Ma Mash,amenity,48.8833528,2.3881059,0.6103484765298094
56,,amenity,48.8801647,2.3753246,0.5014312224644871
57,Le Comité,amenity,48.8759977,2.3816946,0.39671522884425786
58,La Cave des Buttes,shop,48.875115,2.3822445,0.49388840199398576
59,SBD,shop,48.8753978,2.3815757,0.4639082393268762
60,Tatanka,shop,48.8754813,2.3816582,0.45418472679138
61,Au jardin de Bolivar,shop,48.8754221,2.381877,0.4599063328315891
62,,amenity,48.8751432,2.3825052,0.4915431873334799
63,,amenity,48.8750868,2.3823845,0.4973514156359096
64,,shop,48.8752089,2.3825731,0.48458310509732516
65,Crèche Lauzin,amenity,48.876233,2.3783499,0.4605205919606437
66,Coccinelle Express,shop,48.8763009,2.3783848,0.4529412044072605
67,Monceau Fleurs,shop,48.8791114,2.3783748,0.2775270498819188
68,Sunny,amenity,48.8789557,2.3780361,0.3053143210403164
69,Collège Henri Bergson,amenity,48.8813107,2.3778658,0.3667227811672539
70,Collège privé Lucien de Hirsch,amenity,48.8795792,2.3764981,0.4107651528778176
71,Section d'enseignement général et professionnel adapté du Collège Edouard Pailleron,amenity,48.881469,2.378877,0.3179962725030147
72,École Maternelle,amenity,48.8810188,2.3786602,0.30013939239679704
73,École Élémentaire Privée Lucien de Hirsch,amenity,48.8797439,2.3761658,0.4356355082332047
74,École maternelle Carrel,amenity,48.8826732,2.3757224,0.5821726698352074
75,École élémentaire Armand Carrel,amenity,48.8826194,2.3768507,0.5140627604643304
76,Crèche,amenity,48.8825596,2.3779677,0.4510208450216068
77,Carrefour,shop,48.8838368,2.3847889,0.5154339197623559
78,Boulangerie Poilâne,shop,48.8833757,2.3849769,0.4744491377475378
79,Soces,amenity,48.8763549,2.3877396,0.545787801383158
80,Mardi,amenity,48.8762879,2.3874972,0.5374427504956021
81,Buttes Snack Bar,amenity,48.8752008,2.3816321,0.48543566985725733
82,BNP Paribas,amenity,48.8794344,2.388141,0.4434314310206415
83,Le Plateau,amenity,48.8776787,2.3858246,0.3438777520948305
84,Carrefour City,shop,48.8770063,2.3823746,0.284169506422668
85,Green Park Hotel,tourism,48.8783108,2.3843089,0.21316941483365964
86,,amenity,48.8785274,2.3883438,0.4721483659286864
87,Fontaine Wallace,tourism,48.8764519,2.3793265,0.4005322728030229
88,École maternelle Simon Bolivar,amenity,48.8763131,2.3776103,0.4882116958152675
89,,amenity,48.878542,2.375791,0.4761466872809241
90,,amenity,48.8785994,2.3756268,0.48642212186670875
91,Patinoire Pailleron,leisure,48.8806654,2.378145,0.31515142945582225
92,Salle de musculation Pailleron,leisure,48.8803928,2.3783863,0.2877553498348495
93,Durbar,amenity,48.8819056,2.3810382,0.2727103699624775
94,Le Napoléon III,amenity,48.8822538,2.3814925,0.3033858161403345
95,PFG,shop,48.8823228,2.381495,0.3109523001403366
96,Société Générale,amenity,48.8836091,2.3810186,0.45773592882301933
97,Crêpe & Coffee,amenity,48.8832289,2.3808788,0.41822879215579334
98,,amenity,48.8813213,2.3805251,0.22779735913115715
99,,amenity,48.8815995,2.380878,0.2443336649458637
100,,amenity,48.8833951,2.3811772,0.432346354747094
101,,amenity,48.8834402,2.3811365,0.43777197173611077
102,La maison fleurie,shop,48.8838466,2.3808115,0.48648813985503114
103,Église Sainte-Colette des Buttes-Chaumont,amenity,48.8838948,2.3865822,0.5840124495613451
104,Hair Cut,shop,48.8765322,2.3768153,0.5129984210478338
105,Bolivar Atlas,amenity,48.8765242,2.376691,0.5204954663193284
106,Princy Beauty,shop,48.8764927,2.3764348,0.5371678872209654
107,BC serrurerie,shop,48.8765041,2.3765045,0.5324151955560357
108,Allo Pizza,amenity,48.8765787,2.3774487,0.47525682026842014
109,Maya supermarket,shop,48.8765805,2.3775506,0.46978109065147544
110,Rivoli Retouche,shop,48.8765805,2.3776673,0.46374226419892733
111,Mya Isaï,shop,48.8762806,2.378763,0.4386936666023033
112,Serrurerie Paris Bolivar,shop,48.8765611,2.37813,0.4422440664950699
113,Casa di Marco,amenity,48.8765381,2.3785538,0.4244522877223597
114,Le Bolibar,amenity,48.8760804,2.3803193,0.40784843061333786
115,Épicerie de l'Orient,shop,48.8760689,2.3804018,0.4071703984729479
116,Le Repaire du Dragon,shop,48.8760273,2.3805952,0.40751330623305937
117,Le Gâteau sur la cerise,amenity,48.8759744,2.3808497,0.4085951673261526
118,Vista Vision,shop,48.8756698,2.3815123,0.4342060408365189
119,Tchip,shop,48.8751553,2.3821895,0.4893359765022957
120,Le Jardin,amenity,48.8831635,2.3851922,0.46100319559128367
121,Terrasse de la sybille,amenity,48.8775046,2.3813908,0.23385963648118718
122,La civette du parc,shop,48.8771254,2.3821137,0.27020296365137825
123,Institut du parc,shop,48.8770989,2.3821834,0.2732190481894197
124,Pressing du parc,shop,48.8770707,2.3822505,0.276509368483985
125,Service Familles,amenity,48.8767249,2.3864173,0.4465726312855746
126,Assive,shop,48.8766318,2.3867831,0.473045955562112
127,Crèche collective Les Petits Gailhard,amenity,48.8782248,2.3818123,0.14941809134771694
128,Olympe café,amenity,48.8793401,2.3856398,0.2608680847022715
129,belleza,shop,48.879255,2.384685,0.19265004674415334
130,Picard,shop,48.8794155,2.3871908,0.37385535600100006
131,Naturalia,shop,48.8794086,2.3868635,0.3499055398875873
132,Pharmacie Botzaris des Buttes-Chaumont,amenity,48.8794256,2.3875724,0.4017806876614834
133,École des fleuristes de Paris,amenity,48.8785795,2.3840106,0.17733365632675147
134,Unité de dialyse des Buttes-Chaumont,amenity,48.8760901,2.3855589,0.4614313873090325
135,Quedubon,amenity,48.8781141,2.3843466,0.22995219956903953
136,Épicerie du Plateau,shop,48.8780447,2.3849481,0.2681602710668615
137,Milligramme,shop,48.8779014,2.3852742,0.296799020319957
138,Le bar fleuri,amenity,48.8778925,2.3854242,0.30610767983990306
139,Yum's,amenity,48.8770438,2.3854724,0.37316144155360054
140,Antenne FRAC Île-de-France,amenity,48.8784073,2.3854415,0.2764587263151645
141,Au Rendez-Vous des Alouettes,amenity,48.8777463,2.3853987,0.31475307427002847
142,Les comediens,amenity,48.8782848,2.385414,0.28126089284236017
143,Auchan,shop,48.8786807,2.3857983,0.2882918602531412
144,Fournil des Buttes,amenity,48.8785273,2.385463,0.2719862448508695
145,Take Took,amenity,48.8789083,2.3856186,0.26804734336881775
146,,shop,48.8789909,2.3858157,0.27979860641111426
147,Sportès Funéraire,shop,48.8790395,2.385831,0.2797346029804017
148,Bagels & Salad Bar,amenity,48.8791511,2.3858484,0.2787159419803997
149,Acting International,amenity,48.8792668,2.3856534,0.2627313402248667
150,A l'Endroit,amenity,48.8789361,2.3851519,0.23432367395206663
151,Crèche Collective,amenity,48.878107,2.3860947,0.3344616949725669
152,FRAC Antenne culturelle,amenity,48.8782913,2.3861269,0.32722083608934543
153,Adagio Aparthotel,tourism,48.8780091,2.3872453,0.41483964583998795
154,Centre Paris Anim' Clavel,amenity,48.8763043,2.3845917,0.40514659132349373
155,Boutique Chez Papa,shop,48.8758262,2.3836449,0.429920621135449
156,Laverie Libre-Service,shop,48.8752088,2.3840714,0.5045461307374555
157,Mensae,amenity,48.8757475,2.3857007,0.4991210569780844
158,Chi's Vietfood,amenity,48.8753533,2.3815352,0.4690924171040934
159,Carole Beaute,shop,48.8752586,2.3817186,0.4786130570736343
160,Itadakizen,amenity,48.8752934,2.3817467,0.47463322216298914
161,Smoke & Chill,shop,48.8750661,2.3823041,0.499438250943147
162,Hôtel de la Perdrix Rouge,tourism,48.8754147,2.3888922,0.6784967116477396
163,Makodanse,leisure,48.8757614,2.3884818,0.6302697316389494
164,,amenity,48.875452,2.3822672,0.4564632920181332
165,Les Intondables,shop,48.8755402,2.3821653,0.4465135764445382
166,La couronne d'Asie,amenity,48.8755023,2.3822106,0.4507766100802396
167,,shop,48.8751649,2.382628,0.48976676293809296
168,Richard Pommiès,shop,48.8760628,2.3816472,0.3897758690779389
169,CBD makers & vape,shop,48.8786499,2.3752928,0.5092166125397957
170,Institut Français de Myopie,amenity,48.8784351,2.3757629,0.48108986559033
171,Centre dentaire Buttes Chaumont,amenity,48.8817474,2.380839,0.26070756440267917
172,Balouka,shop,48.882172,2.3813928,0.29558206269087145
173,Aldi,shop,48.8832253,2.3761429,0.5978110951114719
174,The Faity,amenity,48.8831086,2.3763956,0.5754173254740441
175,Autovision,amenity,48.883341,2.3764205,0.5921774755932664
176,Les enfants d'abord,amenity,48.8833857,2.3765185,0.5907196029931726
177,Pains Paris,shop,48.8835279,2.3767552,0.5905624747664302
178,,amenity,48.8827047,2.3800827,0.38017700313801467
179,Le Chaumontois,amenity,48.8827056,2.3803679,0.3726360644233823
180,Aux Délices d'Abraham,amenity,48.8792836,2.3779317,0.307093399402506
181,Jad Voyages,shop,48.8792342,2.3780417,0.2996698483359189
