,name,category,latitude,longitude,distance_from_center_km
0,Ultimo Library,amenity,-33.8779638,151.1977698,0.4449587126242911
1,Day Street Police Station,amenity,-33.8753972,151.2038996,0.20386168019797493
2,World Square Post Shop,amenity,-33.8776373,151.2070375,0.537664281388624
3,Hotel Sweeney's,amenity,-33.8726468,151.2058566,0.5092850721452568
4,,amenity,-33.8719539,151.2045283,0.4878913460961711
5,Sir John Young Hotel,amenity,-33.8764928,151.205955,0.40192729483004974
6,Cheers Bar,amenity,-33.8766439,151.2059572,0.4062209822613558
7,City of Sydney RSL Club,amenity,-33.8768597,151.2058774,0.40618506970517926
8,Money Change,amenity,-33.8769875,151.2059198,0.4146505654284024
9,NAB,amenity,-33.8771194,151.2061515,0.4398972905605284
10,Star Hotel,amenity,-33.877738,151.2045538,0.34764263118988664
11,Sussex Centre,amenity,-33.8781365,151.2046589,0.3849664932385178
12,Sussex Centre Food Court,amenity,-33.87825,151.2044059,0.37822201350287826
13,Scruffy Murphy's,amenity,-33.8780335,151.206008,0.4748751850872231
14,Pensione Hotel,tourism,-33.8782228,151.2055004,0.4493117289197016
15,Charlie Chan,amenity,-33.8784997,151.2054001,0.4623443014434323
16,St. Peter Julian's Catholic Church,amenity,-33.8786618,151.2053089,0.46868908427196787
17,HSBC,amenity,-33.8789405,151.2057496,0.519433328377863
18,Capitol Square Hotel,tourism,-33.879328,151.2059154,0.5607438636168715
19,ANZ,amenity,-33.879335,151.2052514,0.520740582413715
20,,amenity,-33.8771172,151.2068927,0.5043206212597524
21,Capitol Square Computer Centre,shop,-33.8794502,151.2055977,0.5510446810351138
22,Westpac,amenity,-33.8794671,151.2052021,0.5294477629327766
23,BOC,amenity,-33.8797326,151.2050355,0.5442878475947162
24,Commonwealth Bank,amenity,-33.8800286,151.2049579,0.567899067620851
25,,amenity,-33.8787538,151.2056201,0.4964537533015259
26,Capital Square Car Park,amenity,-33.8792287,151.205797,0.5452126997760554
27,Capitol Square,amenity,-33.879338,151.2057756,0.5526885475700035
28,,amenity,-33.8784386,151.2058565,0.4899859413916418
29,Kagui,shop,-33.8767189,151.2062903,0.43814168017724286
30,,shop,-33.8800414,151.2061281,0.6327915725141963
31,The BnG Cafe,amenity,-33.8766716,151.1974515,0.4101869855476106
32,Uniting Church In Australia,amenity,-33.8769383,151.1971858,0.4423554391656995
33,Lord Wolseley Hotel,amenity,-33.8766843,151.1967476,0.47356936012638134
34,Harris Street,amenity,-33.8734378,151.1965831,0.5364642391375793
35,The Wool Merchant,tourism,-33.8729966,151.1967551,0.5473849852613035
36,The Rooftop,amenity,-33.8712721,151.2041156,0.5365295825494281
37,Glasgow Arms Hotel,amenity,-33.8780953,151.1985828,0.39528341042340104
38,Novotel Sydney on Darling Harbour,tourism,-33.8720358,151.1977762,0.5444975210325679
39,,amenity,-33.8791621,151.1993264,0.4455102361486164
40,City Map,tourism,-33.8769662,151.1982419,0.35225969835579185
41,Pepper Lunch,amenity,-33.876119,151.2060992,0.4079186501564165
42,St Andrews,amenity,-33.8719143,151.2051657,0.5251548369519082
