,name,category,latitude,longitude,distance_from_center_km
0,Café Viking,amenity,55.6996104,12.5467101,0.2713068731805133
1,Q8,amenity,55.7025591,12.5495849,0.5541996371136417
2,OK,amenity,55.6971586,12.5382153,0.38446795948451057
3,,amenity,55.6968212,12.5454223,0.37062532122308867
4,Netto,shop,55.6967005,12.5378918,0.4360525647850887
5,Føtex,shop,55.7012667,12.538426,0.3059635603035981
6,Café Stefanshus,amenity,55.6953457,12.543356,0.48610967459332616
7,,amenity,55.6979303,12.5355183,0.47426078475371813
8,Divan,amenity,55.7002966,12.5391154,0.2175071600665455
9,7-Eleven Nørrebro Station,shop,55.7008375,12.5374223,0.3383608220555809
10,Karrusellen,amenity,55.6979488,12.5449768,0.2517649953010949
11,Café Ægir,amenity,55.69858,12.545621,0.23673884219625044
12,Det Gamle Sted,amenity,55.6999384,12.5467477,0.2750959331692391
13,Café Lille Peter,amenity,55.6957863,12.5439384,0.4440089809239995
14,Pronto Pizzaria 2,amenity,55.696452,12.544945,0.393299314439878
15,Mae Pen,amenity,55.6969787,12.5458449,0.3705824396726173
16,Ninn's Kiosk,shop,55.6957202,12.5465089,0.5109158815013022
17,Nørrebro City Cykler,shop,55.6999915,12.5405254,0.12272980026385155
18,Esrom Kroen,amenity,55.698944,12.5408153,0.1287175944951701
19,Jyske Bank,amenity,55.6976913,12.5434491,0.23088676992846702
20,El Hassan,shop,55.6979453,12.5431546,0.19872060872814465
21,Service Kiosk,shop,55.6953805,12.5435353,0.48380466679194917
22,Netto,shop,55.696374,12.545982,0.4314453225526408
23,Café Under Hylden,amenity,55.6979994,12.5358935,0.44959751344061594
24,,amenity,55.6974178,12.5430382,0.25486462667837795
25,Elgiganten,shop,55.6998733,12.5400969,0.14623152747634524
26,Kings Kiosk,shop,55.6984955,12.5383245,0.28792191848455145
27,PureGym,leisure,55.6979378,12.5405316,0.22648761430974784
28,Gastronomia Italiana 5,amenity,55.6957878,12.5502193,0.6553922802474617
29,K101 Frisør,shop,55.6957346,12.5501595,0.6565215366611782
30,Mønt Vaskeri,shop,55.6954261,12.5439351,0.48318277581879604
31,Mucki Bar,amenity,55.6960958,12.5475371,0.513362767735375
32,,amenity,55.6998961,12.546686,0.27077584845375774
33,,amenity,55.6986416,12.5500265,0.4934140692054775
34,7-Eleven,shop,55.6975863,12.5441493,0.25764653966374795
35,Røverkøb,shop,55.6981711,12.5432579,0.17630351282187218
