,name,category,latitude,longitude,distance_from_center_km
0,Strand,tourism,59.3309043,18.076982,0.3469730550451302
1,Nybrokajen,amenity,59.3314444,18.076492,0.2839155062666812
2,Nybrokajen,amenity,59.3316818,18.0763364,0.2592225497394699
3,Nybroplan,amenity,59.3319039,18.0763928,0.2457683983447811
4,Nybroplan,amenity,59.3322312,18.0770666,0.25922897564888026
5,Max,amenity,59.3327363,18.0718982,0.0837525386797364
6,Karl XIII,historic,59.3314457,18.0713785,0.22054307112365146
7,Kungliga Operan,amenity,59.3296435,18.0699588,0.4368716521409137
8,Armémuseum,tourism,59.3347609,18.0802581,0.4475443019698251
9,Karl XII,historic,59.3300115,18.0722205,0.3633222879277048
10,Birger Jarlsgatan 6,amenity,59.3343637,18.0753583,0.18393493050641183
11,Grand Hôtel,tourism,59.3296107,18.0754902,0.4300322264181752
12,Konstakademien,tourism,59.3287664,18.0643695,0.6994959512037389
13,Medelhavsmuseet,tourism,59.3294531,18.0672982,0.5322055326708156
14,Dansmuseet,tourism,59.3297418,18.0653366,0.5845173647038724
15,Scenkonstmuseet,tourism,59.3337201,18.0783005,0.30776368088616346
16,Frippe,amenity,59.3337563,18.0768282,0.22660367926057307
17,Östermalms frack & smoking,shop,59.3336215,18.0774355,0.2573902812498873
18,Åhléns,shop,59.3363584,18.0790169,0.4881173162755409
19,Strandvägen,amenity,59.3313412,18.0805439,0.4805979838614416
20,Tidemans,amenity,59.3335675,18.0776856,0.2705991338925747
21,Rose,amenity,59.3330999,18.0749378,0.11312608812151112
22,Lebanon Meza Lounge,amenity,59.3330846,18.0741946,0.0719820235922874
23,Margareta Krook,tourism,59.3331448,18.076392,0.1950055460129217
24,Hotel Diplomat,tourism,59.3319653,18.0805298,0.45336801395179344
25,Hotel Esplanade,tourism,59.3322185,18.080153,0.4245815344181817
26,Handelsbanken,amenity,59.3322637,18.0793595,0.3798103431697436
27,,amenity,59.3328362,18.0753561,0.1433136549047222
28,7-Eleven,shop,59.333251,18.0760665,0.17612433185965246
29,The Soap Bar,amenity,59.3333431,18.0761892,0.1834002468953888
30,Berns,amenity,59.3321771,18.0738967,0.13061374730220807
31,China Teatern,amenity,59.332513,18.0733328,0.08465077783108108
32,Judiska Biblioteket,amenity,59.3317121,18.0739876,0.1808308927478579
33,Vapiano,amenity,59.3374793,18.0742262,0.47650110692833597
34,,amenity,59.3374418,18.0736794,0.4686796636011724
35,Humlan,amenity,59.3374029,18.0734305,0.4633493853088857
36,,amenity,59.3362459,18.0729948,0.33372617758671924
37,Zara,shop,59.3363664,18.0733256,0.3477297471257029
38,Ålandsbanken,amenity,59.3359313,18.0722899,0.30119101997897196
39,Höken och duvan,tourism,59.3363546,18.0724359,0.3471774466690727
40,Spy Bar,amenity,59.3365547,18.0721376,0.3711764670274112
41,Humlegården,tourism,59.337539,18.0723316,0.47916540443005573
42,L'Angolo,amenity,59.3375154,18.0710796,0.4872043092073594
43,India's,amenity,59.337588,18.0695756,0.5204690692588879
44,Elite Stockholm Plaza,tourism,59.3374721,18.0697935,0.5039198417234478
45,David Bagare,amenity,59.3372283,18.0691397,0.4939378855158252
46,Kung Carl,tourism,59.3364433,18.0713869,0.36697951432358805
47,Matbaren,amenity,59.3294026,18.0761212,0.46459657702466695
48,Nordiska Kompaniet,shop,59.3329999,18.0690111,0.22718017225564854
49,Akademibokhandeln,shop,59.3341383,18.0672955,0.33791519401348435
50,Synsam,shop,59.3330723,18.0722314,0.046590829419095536
51,Johannes brandstation,amenity,59.3376953,18.0649088,0.6751506516849037
52,La Fiamma,amenity,59.3374149,18.064998,0.6490266281166435
53,Watami,amenity,59.3356633,18.0653803,0.5089027851783162
54,Ginza sushi,amenity,59.3345089,18.0653764,0.45450741956660534
55,Ruben,amenity,59.3346882,18.0655673,0.45088738685176644
56,Kung Carls Bakficka,amenity,59.3364747,18.0710733,0.375119103648163
57,,amenity,59.3353195,18.0642483,0.5474417345168123
58,Taco Bar,amenity,59.3360401,18.0715555,0.3210869369912806
59,Naturkompaniet,shop,59.3362499,18.0707338,0.3576315598559018
60,Max,amenity,59.3362369,18.0703739,0.3641065769721144
61,7-Eleven,shop,59.335925,18.069727,0.35057885810778144
62,Elon,shop,59.3359194,18.0694524,0.35854161906241583
63,Holy Greens,amenity,59.335888,18.0687109,0.38101849162278395
64,Rigoletto,amenity,59.3361365,18.0683826,0.4142749478486265
65,Asian Post Office,amenity,59.3361686,18.0678686,0.4359772786988353
66,,amenity,59.3358926,18.0677258,0.4193064855887851
67,Golden Hits,amenity,59.3357978,18.0668629,0.4488382661210109
68,Mama Ye's,amenity,59.3357668,18.0665143,0.46227670829957196
69,Naturkompaniet,shop,59.3360542,18.0666717,0.4755733633643107
70,Alewalds,shop,59.3359697,18.0649812,0.5464831950925099
71,Saga,amenity,59.336058,18.0670248,0.46089552103391096
72,Tabbouli,amenity,59.3366699,18.0676331,0.4873112446997997
73,Knut,amenity,59.3365082,18.0672869,0.4862471105021233
74,Nalen,amenity,59.3371633,18.0675518,0.5340454943500134
75,McDonald's,amenity,59.3312253,18.0685599,0.33758133931549905
76,Väderkvarnen,amenity,59.3366279,18.0661132,0.5422069209728595
77,Chokladfabriken,amenity,59.3357394,18.067774,0.4055010064710761
78,7-Eleven,shop,59.3352699,18.0678764,0.3670776372002904
