,name,category,latitude,longitude,distance_from_center_km
0,Hans-Albers-Denkmal,historic,53.5486646,9.960864,0.25075987128046695
1,,amenity,53.5496485,9.9602266,0.18388160565158732
2,Der Kiezbäcker,shop,53.5490935,9.9597973,0.16683723628720204
3,PENNY,shop,53.549743,9.9605693,0.2069203600983343
4,Burger King,amenity,53.5491525,9.9623069,0.32627835244760217
5,KFC,amenity,53.5497556,9.9611087,0.24269557031524994
6,PENNY,shop,53.5500853,9.9547858,0.183610562664683
7,Schmidts TIVOLI,amenity,53.5491266,9.9633422,0.3945210097595342
8,,amenity,53.5484965,9.9550977,0.20127400178387694
9,Edeka,shop,53.5529553,9.9597393,0.39906564698392527
10,Condomerie Hamburg,shop,53.5492799,9.9646584,0.4792903203531781
11,,amenity,53.5512799,9.9553943,0.22800203632038088
12,StrandPauli,amenity,53.5460081,9.9620571,0.5063666843346284
13,Apotheke am Paulinenplatz,amenity,53.5539901,9.9623097,0.5815632235541418
14,Eier Carl,amenity,53.5453223,9.952241,0.5916749704776448
15,Schmidt Theater,amenity,53.5491358,9.9638746,0.42933532460414126
16,El Tequito,amenity,53.546044,9.9537841,0.4681429138599085
17,Christiansen's,amenity,53.5463649,9.9541482,0.425092662278912
18,GWA St.Pauli,amenity,53.5476966,9.956953,0.2186360322382348
19,St. Pauli Theater,amenity,53.5491011,9.9629881,0.3717580307604025
20,Pulverfass Travestie Cabaret,amenity,53.5493537,9.9585925,0.08194208867700989
21,Burger Lounge,amenity,53.5530951,9.9541919,0.4412582571984601
22,Senkoi Am Hafen,amenity,53.5452292,9.9513983,0.6339187806129787
23,,amenity,53.5481438,9.9618422,0.3351604193217109
24,Park Cafe,amenity,53.55326,9.9521531,0.5346306185183342
25,Musik Markt Hamburg,shop,53.5493878,9.9549183,0.17026442741417783
26,Kiez Curry,amenity,53.5488415,9.9601956,0.2023035045847127
27,Fischmarkt / Breite Straße,amenity,53.5462439,9.9509483,0.5732306976561806
28,S Reeperbahn / Königstraße,amenity,53.5494956,9.9550425,0.16052083044229204
29,BeerPONG BAR,amenity,53.5497482,9.960888,0.228044160114669
30,Budnikowsky,shop,53.5523436,9.9625199,0.45106339185570155
31,Zum Silbersack,amenity,53.5488785,9.9599637,0.18670787903508565
32,,amenity,53.5495801,9.9612015,0.24858091457282422
33,,amenity,53.5494907,9.9560705,0.09305801230807353
34,,amenity,53.547724,9.9573012,0.21330173030822536
35,,amenity,53.5494555,9.9648436,0.4903237557840788
36,Onkel Otto,amenity,53.5466845,9.9600022,0.3696579166059801
37,,amenity,53.5462383,9.9576503,0.37864671728451965
38,ahoi,amenity,53.5465514,9.9600445,0.3841383890202319
39,Park Fiction,tourism,53.5461929,9.9570813,0.38426041053258053
40,A&O Hamburg Reeperbahn,tourism,53.5499433,9.958656,0.08669355796231738
41,Hotel St. Joseph,tourism,53.5507922,9.9580555,0.13449188855712607
42,Reeperbande,amenity,53.5494865,9.9565241,0.06380955393562322
43,,amenity,53.5495036,9.9570304,0.031740378444406823
44,Kita Lelka Birnbaum,amenity,53.5465781,9.9618197,0.44699957312804656
45,Kiez Klause,amenity,53.5482002,9.9610226,0.285693778209299
46,Chikago Bar,amenity,53.5482818,9.9610223,0.28068934332251694
47,Der blaue Engel von St. Pauli,amenity,53.5481137,9.9612509,0.30362247067491266
48,,amenity,53.5496741,9.958885,0.09503795772055036
49,Auto-Parkhotel,tourism,53.549071,9.9577126,0.06546240485003178
50,"Bibliothek, Bernhard-Nocht-Institut für Tropenmedizin",amenity,53.5468419,9.9649891,0.5885842748640632
51,Konditorei Holger Rönnfeld,shop,53.5525886,9.9630034,0.4931268220197385
52,Hermann Hatt,historic,53.5507622,9.9612702,0.2822696972338367
53,Heinrich Habitz 'Liddy Bacroff',historic,53.5510238,9.9642051,0.4733870152290867
54,Olga Glaser geb. Fränkel,historic,53.5496272,9.9609746,0.23346012690852322
55,Kurt Hirsch,historic,53.5510541,9.960167,0.23916293812209463
56,Georg Hansen,historic,53.5525766,9.9602123,0.37469703459690623
57,Jacob Lübeck,historic,53.5510667,9.9601696,0.24021827987694053
58,Siegfried Liebreich,historic,53.5510314,9.9624139,0.36356398712133275
59,Erich Küter,historic,53.5528751,9.9583432,0.3650400645271735
60,Dr. Friedrich Glaser,historic,53.5496474,9.9609728,0.23333958674891633
61,Alfred Beckmann,historic,53.5469485,9.9544914,0.3579757421763818
62,Alfred Kästel,historic,53.548607,9.9563101,0.1375125314194422
63,Jacob Rhein,historic,53.5493631,9.9593844,0.131670898283379
64,Paul Meilicke,historic,53.546662,9.953491,0.4227077262275182
65,Willi Hans Miersch,historic,53.5515335,9.9510045,0.4765806279327407
66,Buttercrumbs Bakery,amenity,53.5470548,9.9625955,0.44597909662440943
67,,amenity,53.5492633,9.9608038,0.22602572600325488
68,Salt & Silver Levante,amenity,53.5465424,9.9584386,0.35071994896536746
69,Blauer Peter,amenity,53.5512483,9.9610691,0.2992788999396042
70,Molly Malone,amenity,53.5489567,9.9611336,0.2555213610276025
71,Frieda B.,amenity,53.5483459,9.9609387,0.2721973334899284
72,Roschinsky's,amenity,53.5511629,9.9610193,0.2909994378484831
73,Pizzeria Alt Hamburg,amenity,53.5487815,9.9605831,0.22837622315919198
74,20 Flight Rock,amenity,53.5484273,9.960365,0.2354541516231417
75,Chez Lorsin,amenity,53.5481798,9.9602403,0.24596848156050283
76,Lunacy,amenity,53.5508076,9.9614461,0.29496093638917553
77,The Academy,amenity,53.5488803,9.9611344,0.2582241726718171
78,London Pub,amenity,53.5487121,9.9611679,0.2669796162590257
79,Komet,amenity,53.5475588,9.9620406,0.3821771320177314
80,Bar Wohlzimmer,amenity,53.55276,9.961079,0.4224686328850988
81,Zur Ritze,amenity,53.5500785,9.9593819,0.13694864633128587
82,,amenity,53.5526544,9.9604058,0.3885773761535305
83,Park Fiction,tourism,53.5460084,9.957047,0.40489917130168895
84,Seefeldt Guitars,shop,53.5509194,9.9603507,0.2392262592047883
85,,amenity,53.551916,9.9562871,0.2649945689765712
86,Kugel Dealer,amenity,53.5454242,9.9640644,0.6419271356575237
87,,leisure,53.5540513,9.9525615,0.5884715118909676
88,,amenity,53.549769,9.9539393,0.23330647453900907
89,Sonnendeck St.Pauli,amenity,53.5460406,9.9642117,0.6008946202032626
90,WunderBar,amenity,53.5503741,9.9603235,0.20716726637109226
91,Docks,amenity,53.5492622,9.9645517,0.4724135849043253
92,,amenity,53.5471426,9.9640578,0.5185098480027248
93,Köz Antep Gülbaba,amenity,53.5493596,9.9590383,0.10960039330323593
94,,leisure,53.5534644,9.9552623,0.4498820659490792
95,,amenity,53.5513495,9.9538506,0.30538220329182303
96,Lincoln-Apotheke,amenity,53.549952,9.9550799,0.1610791286619935
97,,amenity,53.5497971,9.9536204,0.25460371154517747
98,St. Cosmas-Apotheke,amenity,53.5511246,9.9551979,0.2229107178064427
99,Egon Hotel Hamburg City,tourism,53.5499287,9.954097,0.2247348849396579
100,,amenity,53.5492005,9.9529463,0.3026229554035588
101,Aral,amenity,53.5493747,9.9528039,0.30950525234169557
102,,leisure,53.5469923,9.9503479,0.555418044300321
103,,amenity,53.5493227,9.9621434,0.312906754657642
104,,leisure,53.5457847,9.9512667,0.5933561647382837
105,,leisure,53.5456318,9.9502407,0.6537226013885965
106,,leisure,53.5456979,9.9503641,0.6427230159363005
107,,amenity,53.5466403,9.9508756,0.5489818694727026
108,,amenity,53.5474346,9.9637358,0.48334152806690645
109,Budnikowsky,shop,53.5512619,9.9603663,0.2644799453488421
110,,amenity,53.5492092,9.9617701,0.29014440831418786
111,Café Geyer,amenity,53.5473543,9.9571385,0.25506253168942955
112,Golden Pudel Club,amenity,53.5461935,9.9577662,0.383969304639753
113,The Blessed,tourism,53.5469523,9.9608447,0.3740756624781783
114,Kombüse,amenity,53.5469434,9.9605214,0.3624197205208425
115,La Paloma,amenity,53.5483829,9.9612176,0.28602254021337337
