,name,category,latitude,longitude,distance_from_center_km
0,Bankeråt,amenity,55.6834082,12.5651843,0.27939165677172006
1,Wining & Dining,amenity,55.6797762,12.5754143,0.5860478091464741
2,Flottenheimer,amenity,55.6802012,12.5750978,0.5369351598043383
3,Ristorante Amalfi,amenity,55.679433,12.575349,0.6137634348938327
4,Ankara,amenity,55.6811269,12.5741096,0.4186657586112247
5,Ibsens Hotel,tourism,55.6846523,12.566266,0.22438072175178383
6,Starbucks,amenity,55.683693,12.5709974,0.09300538302883622
7,Kalaset,amenity,55.6846984,12.566704,0.20160255485410475
8,Pintxos,amenity,55.6844442,12.5660522,0.2292826282477163
9,Sushi Nørregade,amenity,55.6818262,12.5712029,0.24983174170450062
10,Sticks'N'Sushi,amenity,55.6841991,12.5647608,0.30358167128267877
11,Cafe Munk,amenity,55.6843897,12.5673006,0.15306354678479397
12,H.C. Ørsted,tourism,55.680807,12.5673715,0.3672333403880092
13,Netto,shop,55.68107,12.572657,0.36760701304296733
14,Løven og hesten,tourism,55.6839761,12.5774308,0.4957840316529951
15,Kaffesalonen,amenity,55.6867256,12.5617007,0.5874740196571522
16,Sliders,amenity,55.6871145,12.5620604,0.5939094661614375
17,Kong Arthur,tourism,55.6847597,12.5649941,0.3033891433159092
18,Studenterhuset,amenity,55.681192,12.576282,0.5176397729377163
19,1899,amenity,55.6828339,12.5744665,0.3298799759530508
20,"Det Teologiske Fakultet, Københavns Universitet",amenity,55.6809781,12.5773893,0.5886731562162271
21,,amenity,55.687856,12.5621548,0.6431797042636471
22,Café Halvvejen,amenity,55.6809434,12.5739275,0.4262931516233119
23,,amenity,55.681389,12.5750693,0.44338680424253285
24,40,amenity,55.6816527,12.575973,0.47323111058988826
25,,amenity,55.680746,12.5726484,0.3983607409131584
26,Københavns Cykelbørs,amenity,55.6857484,12.5683839,0.2219736063928282
27,Netto,shop,55.6821226,12.5764493,0.4753851113287956
28,,shop,55.6826005,12.5770954,0.49504951402574787
29,Johan Herman Wessel og Johannes Ewald,tourism,55.6813367,12.5761813,0.5032796837156883
30,Netto,shop,55.683675,12.573028,0.21973629935891995
31,Kaffebaren Fiolstræde,amenity,55.6822824,12.5720569,0.23656610199024394
32,Hvide Lam,amenity,55.6821362,12.574042,0.3419438106436665
33,,amenity,55.6848551,12.5731619,0.2523603899943565
34,,amenity,55.6809251,12.5736803,0.4180155148205137
35,Lagkagehuset,shop,55.6829634,12.573528,0.26961605714321574
36,7-Eleven Kultorvet,shop,55.6821656,12.5746651,0.37330218521285957
37,McDonald's,amenity,55.6831218,12.5722211,0.1873127223341455
38,,amenity,55.6842882,12.5694343,0.04747873638025178
39,Niels Brock,amenity,55.6825046,12.5745879,0.3512539853711385
40,,tourism,55.6827061,12.5715425,0.17997769334175767
41,,amenity,55.6883543,12.5726669,0.5366693327347585
42,Tycho Brahe,tourism,55.6813004,12.5758935,0.49072533854474715
43,Water Art,tourism,55.6814245,12.5755539,0.4653141931605341
44,Vaisenhus Apotek,amenity,55.681653,12.575572,0.45187272753496904
45,,amenity,55.6814533,12.5754001,0.4555999001571822
46,Arnold Busck,shop,55.681117,12.5760384,0.5101509460947847
47,Ørsted Ølbar & Cafe,amenity,55.6812668,12.5645148,0.42914720415960456
48,Democratic Coffee,amenity,55.680835,12.573416,0.4159914376900228
49,Café Paludan,amenity,55.6803897,12.5732256,0.4508864093149058
50,Hornsleth,amenity,55.6805487,12.5771236,0.6028060361819974
51,Sole D Italia,amenity,55.6799188,12.5764619,0.6182177289650084
52,Huks Fluks,amenity,55.6800196,12.5756472,0.5749108520619925
53,Le Pavé,amenity,55.6797205,12.5754643,0.5928485149979058
54,Limone,amenity,55.680047,12.5755261,0.5675685730870221
55,Den glade Gris,amenity,55.6800207,12.5746175,0.5337951288265148
56,Cyklistbutikken 1905,shop,55.6831793,12.5676563,0.14165959007095183
57,Brinck Elektronik,shop,55.6854052,12.5675489,0.212590756353319
58,,amenity,55.685401,12.5674727,0.2150933394043113
59,La Fiorita,amenity,55.6835714,12.5649389,0.29197938005187674
60,Bibendum,amenity,55.6837431,12.56518,0.27529905321452547
61,Larry vs Harry,shop,55.6857939,12.5656649,0.3252438169884127
62,Cykelstad,shop,55.6850457,12.5670935,0.20278734506279839
63,,amenity,55.6846893,12.5665917,0.2074536530274108
64,,amenity,55.6832096,12.5677971,0.13239890399058482
65,Max's Bike,shop,55.6831168,12.5664605,0.21158882471164192
66,Profil Optik,shop,55.683237,12.5723907,0.19188415385087193
67,Lån & Spar,amenity,55.6839706,12.5721935,0.1666039284600303
68,7-Eleven,shop,55.6822901,12.5707486,0.19102996764131763
69,Min Købmand,shop,55.6821757,12.5629626,0.4552071809680349
70,Emmerys,shop,55.6874681,12.5622798,0.6082205451397166
71,Nilen,tourism,55.6860135,12.5647334,0.385939624548711
72,Tiberen,tourism,55.6864671,12.5652001,0.3983826309023307
73,,amenity,55.6863341,12.5704031,0.2798659354233984
74,,amenity,55.6797374,12.5616903,0.6752015005304635
75,,amenity,55.6800156,12.5617493,0.6517031728178198
76,,amenity,55.6796376,12.5630797,0.6224478088732085
77,Taffelbay,shop,55.6836054,12.5729417,0.21524506085567974
78,Mamma Che Gelato - La Fiorita,amenity,55.6833175,12.5650582,0.28916037597571237
79,,amenity,55.6837493,12.5688032,0.04883791768818495
80,,amenity,55.6838735,12.5688259,0.04562809244899455
81,,amenity,55.6839339,12.5702073,0.04193812886096787
82,,amenity,55.6842107,12.5700034,0.047688597836311124
83,,amenity,55.6841502,12.5691746,0.0394463006040953
84,,amenity,55.6840731,12.570328,0.05398600540169993
85,,amenity,55.6843498,12.5696413,0.05406206687779987
86,,amenity,55.6835001,12.5697969,0.043664643587334635
87,,amenity,55.6836404,12.5703371,0.05549469772649464
88,,amenity,55.684118,12.5659261,0.22972950301995856
89,,amenity,55.6839985,12.5658027,0.23623923430109658
90,,amenity,55.6833833,12.5699723,0.060004823087069704
91,,amenity,55.6837839,12.5701467,0.038580693997485024
92,,amenity,55.6795354,12.5745154,0.5745260357950353
93,,amenity,55.6797093,12.5746843,0.5643836154734366
94,,amenity,55.6817399,12.5631318,0.4681163826815908
95,,amenity,55.6818865,12.5628181,0.47748678894383284
96,,amenity,55.6797147,12.5722718,0.4929500135916903
97,,amenity,55.6807945,12.5730657,0.40728994048218303
98,,amenity,55.6804164,12.5730389,0.4423965027446258
99,,amenity,55.6798418,12.5728994,0.49516411703160085
100,,amenity,55.6833075,12.5657946,0.24436607663794613
101,,amenity,55.6805613,12.5713308,0.3846806653119059
102,,amenity,55.6834361,12.5653092,0.27110456493241125
103,,amenity,55.683436,12.5651189,0.2828957037033259
104,,amenity,55.6809317,12.5621549,0.5685545928396425
105,,amenity,55.6810014,12.5620987,0.5670487084154341
106,La Rocca,amenity,55.6847357,12.5661151,0.2367901052980723
107,Höst,amenity,55.6832824,12.5661022,0.2264975107969053
108,,amenity,55.6822365,12.5769144,0.49746399671615554
109,,amenity,55.6821102,12.5765215,0.48009484142401904
110,,amenity,55.6831032,12.5736109,0.2691458267013226
111,,amenity,55.6809594,12.5762975,0.5337358680813457
