,name,category,latitude,longitude,distance_from_center_km
0,,amenity,1.2755317,103.8460767,0.19690269206162478
1,,amenity,1.2761318,103.8455576,0.13848298522535432
2,,amenity,1.2771163,103.8474832,0.37584959442221255
3,McDonald's,amenity,1.2748834,103.846034,0.21794783773320692
4,Boulevard,amenity,1.2776691,103.8460375,0.27411347338389747
5,MAS Building,amenity,1.274669,103.8470601,0.3306730466673881
6,International Plaza,amenity,1.2758372,103.8463058,0.21879092351050416
7,Hongdae Korean BBQ,amenity,1.2790473,103.841753,0.4540143591920313
8,DBS,amenity,1.2756196,103.8430707,0.14403047936064026
9,Tanjong Pagar Food Centre,amenity,1.2765516,103.8430933,0.15777365164639226
10,Amoy Street Food Centre,amenity,1.2793519,103.8466661,0.46369031194493376
11,,amenity,1.2764506,103.8426628,0.1973151622517961
12,,amenity,1.2719858,103.8419015,0.5083155264888223
13,,amenity,1.2723044,103.8419149,0.47805436621859
14,Tanjong Pagar Plaza,amenity,1.2760274,103.8432003,0.12800991242469342
15,Pinnacle@Duxton,amenity,1.2764805,103.8410198,0.3755959702124378
16,Pinnacle@Duxton,amenity,1.276165,103.8412177,0.34900930306680017
17,,amenity,1.2764161,103.8411428,0.3608825451230131
18,Shenton Way Terminal,amenity,1.2742403,103.847464,0.39172006293002976
19,The Pinnacle@Duxton,tourism,1.2755813,103.8413189,0.3377870860297292
20,NTUC FairPrice,shop,1.2744573,103.8436539,0.17415080011008213
21,NTUC FairPrice,shop,1.2760543,103.843136,0.13551392265942508
22,The Library,amenity,1.2802935,103.8416614,0.5725686544808327
23,Subway,amenity,1.2745747,103.8437017,0.16015390427427662
24,Apple Corner,shop,1.2765731,103.8458836,0.18842048881455273
25,,amenity,1.280386,103.8406437,0.646761666253083
26,Pasta Inc,amenity,1.2800703,103.8416312,0.5534712409345974
27,Crysabelle KTV Lounge,amenity,1.280314,103.8407577,0.6325660159291111
28,MOS Burger,amenity,1.2749353,103.8435698,0.1345182578310787
29,Ya Hua Bak Kut Teh,amenity,1.272243,103.842093,0.472897937004465
30,,amenity,1.2797672,103.8441729,0.4310359944060807
31,,amenity,1.2797574,103.844335,0.4295504241614017
32,Starbucks,amenity,1.2775874,103.8472839,0.37852044379643435
33,Tippling Club,amenity,1.2794906,103.8437631,0.40517156359944484
34,Tea Chapter,shop,1.280181,103.8436066,0.48333497329137176
35,Suk Seong Do,amenity,1.2746436,103.8437057,0.15315779144916644
36,Gyoza King,amenity,1.2768168,103.8437402,0.12392326323120222
37,Ikkousha Hakata Ramen,amenity,1.2770322,103.8432452,0.17688759244032845
38,Keisuke Tonkotsu King,amenity,1.2767774,103.8440193,0.10622087012694527
39,Ramen Keisuke Tori King,amenity,1.2747147,103.8437219,0.1453642545335482
40,Cheers,shop,1.2769745,103.8437294,0.13951263104176084
41,Preserved Building (Former Yan Kit Swimming Pool),leisure,1.27638,103.8423278,0.23088210623926517
42,Sushi Kou,amenity,1.2768053,103.8438218,0.11816403379766774
43,Teppei,amenity,1.2767911,103.843922,0.11170936339304667
44,Pinnacle@Duxton,amenity,1.2781024,103.841201,0.42760286777319517
45,The Reading Room,amenity,1.2790186,103.8405488,0.5468534240790205
46,Tendon Ginza Itsuki,amenity,1.2773248,103.8436979,0.17575877856858718
47,Bonheur Patisserie,shop,1.2781011,103.8430696,0.28409773124035004
48,Coffee-Hugg,amenity,1.2795459,103.8472103,0.5167178684921016
49,Park Bench Deli,shop,1.2798767,103.8473076,0.5523438951631124
50,Ocean Curry Fish Head,amenity,1.2798195,103.847277,0.5452389073884774
51,Swis Ling Bak Kut Teh Seafood Restaurant,amenity,1.2803588,103.8407583,0.6363777138506784
52,Jing Hua Xiao Chi,amenity,1.280033,103.8433726,0.4724603721898675
53,Cafe3,amenity,1.2802624,103.840749,0.6287617089930099
54,,amenity,1.2790682,103.8450744,0.3626666406567869
55,Buko Nero,amenity,1.2775936,103.8434037,0.2169618773348378
56,Inaho's Kitchen Bar,amenity,1.2779492,103.8431369,0.2658083393711709
57,Pasta Brava,amenity,1.2776835,103.842743,0.2677474175105546
58,Sui Japanese Dining & Sake,amenity,1.2791041,103.8421219,0.43430493512761364
59,L'Entrecote,amenity,1.2784557,103.8427687,0.33490925176323405
60,Eight Cafe & Bar,amenity,1.27877,103.8409466,0.4952560575473737
61,Zen,amenity,1.279461,103.8403366,0.596625796377813
62,Bistro Soori,amenity,1.2801271,103.8420477,0.5351623919890229
63,Bread & Hearth Artisinal Bakery Cafe,amenity,1.279998,103.8416049,0.548403569094817
64,Italian Food & Wine Pte Ltd,amenity,1.2798518,103.8419649,0.5132948584321482
65,Nicholas le Restaurant,amenity,1.2802901,103.8419437,0.5565262400816054
66,Taratata Bistrot,amenity,1.2801501,103.8414805,0.57008222502477
67,Buyan Russian Haute Cuisine & Caviar Bar,amenity,1.2792088,103.8428133,0.4061473428871542
68,Flor Patisserie,shop,1.2793981,103.843112,0.41309061766627936
69,Sabio Tapas Bar & Restaurant,amenity,1.2793251,103.8429893,0.4102869395083266
70,Flower Pig 360 꽃돼지 360 Aged Meat,amenity,1.2793726,103.8437383,0.3927554737028459
71,Meatchelin,amenity,1.2788617,103.843822,0.33550208337639714
72,Han Kook Gwan Korean Restaurant,amenity,1.2797725,103.8438174,0.4351272874060309
73,The New Harbor Cafe And Bar,amenity,1.2778481,103.8435064,0.2373234496210043
74,Moo Bar & Grill,amenity,1.279631,103.8472561,0.5272685077971211
75,Nusantara Cuisine,amenity,1.2800682,103.84741,0.5761418355114071
76,PHO 99 Vietnamese Delight,amenity,1.2799559,103.8468803,0.532697550005619
77,Common Man,amenity,1.2802945,103.8479317,0.631526968503547
78,KAMAL Restaurant,amenity,1.2800603,103.8477892,0.6014538700200468
79,The Market Grill,shop,1.2799336,103.8471242,0.5455546032664025
80,Pizzeria L’Operetta,amenity,1.2749975,103.8443571,0.09679336308835156
81,Meat Smith,amenity,1.2801657,103.8474622,0.5882702851201854
82,Napoleon Food and Wine Bar,amenity,1.2800157,103.8471644,0.5555694885397587
83,Oh Neul Han Jeom Korean BBQ Restaurant,amenity,1.2799242,103.847333,0.558244822380613
84,Pantler,amenity,1.2801981,103.8472535,0.5778193577713512
85,SKP Pte Ltd,shop,1.2801508,103.8472304,0.5720481694269948
86,State Bank of India,amenity,1.2798895,103.8486735,0.6556307236116036
87,Urban Bites,amenity,1.2803147,103.8475419,0.6068094907510225
88,7-Eleven,shop,1.2796702,103.8475518,0.551430455978178
89,Casa Tartufo,amenity,1.2803915,103.8454428,0.514512897408275
90,The Centre Stage,shop,1.2781477,103.8436216,0.2639644017739764
91,Best Wash,shop,1.2780404,103.8435803,0.25417510141272986
92,Blue Mist Cafe,amenity,1.2769673,103.8432327,0.17274706896735614
93,Blues Tavern,amenity,1.278077,103.8435944,0.25748494549119266
94,Digio Bridal,amenity,1.2781747,103.843849,0.26034728596801326
95,Fluffy Dessert,amenity,1.2780061,103.8435671,0.25110123012524166
96,Guiga Korean BBQ,amenity,1.2774953,103.8434702,0.20387735722032985
97,OCNZ On Dol,amenity,1.2774895,103.8437102,0.19203469163514128
98,La Belle Couture,shop,1.2777051,103.8437264,0.21382276652867982
99,Seasons Glamour,shop,1.2779125,103.8437651,0.23445588258754274
100,Michael Trio,shop,1.2775969,103.8437183,0.20282747296043324
101,Singkoba,amenity,1.2778072,103.8437548,0.2236085307808897
102,Guiga Korean BBQ,amenity,1.2776561,103.8437227,0.20883086765861691
103,Sin Manbok,amenity,1.2778627,103.8437492,0.22966385436495773
104,Ramyun and Soju,amenity,1.277235,103.8438423,0.16050468762655162
105,Super Star K BBQ,amenity,1.2780172,103.8437986,0.24466859600033733
106,The Blue Ginger,amenity,1.2774316,103.8437059,0.18626991558399628
107,Thomson Wedding Collections,amenity,1.2781194,103.8438313,0.25480266203849394
