,name,category,latitude,longitude,distance_from_center_km
0,帝国ホテルプラザ東京,shop,35.672127,139.7594638,0.476057338914086
1,東京宝塚劇場,amenity,35.6728254,139.7592046,0.5074156845336297
2,,amenity,35.6739564,139.762287,0.3082168577089558
3,カフェ・ベローチェ,amenity,35.6695915,139.7653106,0.2739925783447234
4,元木挽橋際公衆便所,amenity,35.6692603,139.7653832,0.3113172666476413
5,,amenity,35.6701741,139.7669064,0.2843028986460768
6,サンマルクカフェ,amenity,35.6727334,139.7673145,0.24808555058194293
7,BVLGARI,shop,35.6729787,139.7671203,0.2422497244930229
8,,amenity,35.6715408,139.7650535,0.06050868596568195
9,KOMECHO GINZA,shop,35.6733071,139.7674768,0.28789725407380123
10,三菱UFJ銀行,amenity,35.6718383,139.7659677,0.11460386242844509
11,木村屋,shop,35.6716781,139.7652743,0.062461716029779395
12,ヤマハホール,amenity,35.6686277,139.7625846,0.4225027966963853
13,ヤマハ銀座,shop,35.6686601,139.7625426,0.42107661775131155
14,Chanel,shop,35.6729606,139.7665443,0.19574318756117975
15,ドトールコーヒーショップ,amenity,35.6727804,139.767244,0.24382189208662658
16,洋服の青山,shop,35.6732379,139.7669322,0.24199328662735659
17,Cartier,shop,35.673224,139.766174,0.18804919811361895
18,王子ホール,amenity,35.671169,139.7665315,0.1888694716530827
19,Tiffany & Company,shop,35.6732092,139.7673645,0.27370312919175643
20,東京風月堂 銀座本店,shop,35.6732846,139.7669956,0.2496544165544192
21,吉野家,amenity,35.6726845,139.7663597,0.1660569159093032
22,教文館,shop,35.6720238,139.7656465,0.08387086406315065
23,ファミリーマート,shop,35.6688231,139.7649394,0.3545400225307632
24,タリーズコーヒー,amenity,35.6686995,139.7656139,0.37649531093519867
25,すし栄本店,amenity,35.6681693,139.7647244,0.4265252954536063
26,デニーズ,amenity,35.6680662,139.7656271,0.4455946888909377
27,,amenity,35.6690883,139.7656538,0.33538544271104825
28,岡田かめや,shop,35.6684296,139.7643948,0.39873396262781463
29,林美容院,shop,35.668402,139.764368,0.4019731547563244
30,第一勧業信用組合,amenity,35.6684487,139.765304,0.39904095285905905
31,菊岡診療所,amenity,35.6683181,139.7642376,0.41233687429357646
32,香蘭社,shop,35.6690657,139.7655603,0.3357945458394406
33,Saray,amenity,35.6697064,139.7655155,0.2659136230782718
34,蘭苑菜館,amenity,35.6697354,139.7655659,0.2641042362089795
35,CASA MONTES,amenity,35.6701361,139.7649189,0.2090783764373435
36,La Belle,shop,35.6705273,139.7653264,0.17379179166021133
37,TOP's,amenity,35.6716511,139.7663116,0.14958420928439475
38,あづま稲荷大明神,amenity,35.6704191,139.7652756,0.1839110221430209
39,さわだ内科クリニック,amenity,35.6701102,139.7649045,0.21183486624985298
40,ざくろ,amenity,35.6716698,139.7662783,0.14612741973952909
41,ギャラリーあづま,shop,35.6700771,139.7648118,0.21500922141118692
42,Zakuro Ginza (Wagyu Shabu Shabu),amenity,35.6716959,139.766245,0.14247546180889437
43,スターバックス,amenity,35.6716935,139.7665908,0.17303786918454686
44,トリコロール本店,amenity,35.6702592,139.7650197,0.1965243507460298
45,三松呉服店,shop,35.6700511,139.7647805,0.2178024307875
46,中納言,amenity,35.670187,139.7649484,0.20370592982029298
47,海ごはん,amenity,35.670404,139.7651923,0.18362260367097785
48,清月堂画廊,tourism,35.6701224,139.7648863,0.21036126259655227
49,BOU'L MICH,shop,35.6750714,139.7687377,0.497398207342537
50,ドトールコーヒーショップ,amenity,35.6754844,139.7695215,0.5807348023303648
51,,amenity,35.6745438,139.7684386,0.4383437440413506
52,,amenity,35.6745588,139.7684509,0.4402652129881566
53,,amenity,35.6750042,139.768721,0.4912267522277171
54,レカン,amenity,35.6717534,139.7653785,0.06621897077934327
55,三菱東京UFJ銀行京橋支店、京橋中央支店,amenity,35.6747349,139.7684832,0.45523043022547455
56,京橋の親柱,historic,35.6749626,139.7687121,0.48752318235130643
57,江戸歌舞伎発祥の地,historic,35.6753176,139.7688794,0.5255316448191161
58,ほっかほっか亭,amenity,35.6757334,139.7679544,0.5060465142192069
59,,amenity,35.6752631,139.768952,0.5260985359222613
60,,amenity,35.6752794,139.7689202,0.5252517072050875
61,,amenity,35.6753405,139.7684861,0.5024990752602538
62,ファミリーマート,shop,35.67568,139.7677653,0.49142140871215567
63,春よい,amenity,35.6755065,139.768212,0.500136847115721
64,銀座胃腸クリニック,amenity,35.6754613,139.7680665,0.4879753183390383
65,日比谷しまね館,shop,35.6729335,139.7599337,0.44520597211132357
66,,amenity,35.6703139,139.7674424,0.31032650297793873
67,,amenity,35.6706687,139.7637326,0.17394905561159227
68,丸の内消防署有楽町出張所,amenity,35.675397,139.760388,0.5429187292106458
69,丸の内警察署,amenity,35.6753665,139.7601807,0.5543512967091342
70,丸の内警察署日比谷公園前交番,amenity,35.675154,139.759267,0.6042800400566983
71,丸の内警察署有楽町駅前交番,amenity,35.673905,139.762572,0.28612802077309396
72,京橋消防署銀座出張所,amenity,35.668655,139.763961,0.3789217901497076
73,京橋通郵便局,amenity,35.675488,139.769822,0.6016244836996589
74,商工中金,amenity,35.676156,139.76676,0.4953341178809553
75,朝日ビル内郵便局,amenity,35.670599,139.7621,0.2844397877746068
76,東京交通会館内郵便局,amenity,35.674932,139.764683,0.323833724896575
77,泰明幼稚園,amenity,35.6721202,139.7610051,0.33655669315439063
78,築地警察署三原橋交番,amenity,35.6702813,139.7667544,0.2661886247268304
79,築地警察署数寄屋橋交番,amenity,35.6728435,139.7632935,0.15863386008717914
80,築地警察署銀座一丁目交番,amenity,35.6749591,139.7686817,0.4852248187313633
81,築地警察署銀座八丁目交番,amenity,35.66788,139.76289,0.487640316110559
82,築地警察署銀座四丁目交番,amenity,35.6712885,139.76475,0.08048610308565253
83,銀座一郵便局,amenity,35.6726082,139.7701105,0.4924525829512872
84,銀座三郵便局,amenity,35.670239,139.769405,0.46761481290163676
85,銀座並木通郵便局,amenity,35.673266,139.764989,0.14108327618933006
86,銀座四郵便局,amenity,35.6710691,139.7656514,0.13448932645411277
87,銀座通郵便局,amenity,35.6732648,139.7675713,0.29309251485943905
88,,shop,35.6734002,139.7664651,0.22051812901160692
89,ぷれじでんと千房,amenity,35.6714969,139.7602812,0.4059554723682662
90,Tateru Yoshino,amenity,35.6706495,139.7664858,0.22012735068097086
91,久兵衛 銀座,amenity,35.6684966,139.7612739,0.4996200790333169
92,久兵衛 銀座別館,amenity,35.6685777,139.7615978,0.47459311026658024
93,美々卯 京橋店,amenity,35.6754061,139.7700376,0.6110979258301623
94,Hidemi Sugino Café,amenity,35.675191,139.7698904,0.5859951552682242
95,ソフトバンクショップ,shop,35.6706667,139.76413,0.15869779557005795
