,name,category,latitude,longitude,distance_from_center_km
0,Harvard Square,amenity,42.3733695,-71.1189903,0.012178438950730942
1,John F Kennedy School of Government,amenity,42.3715439,-71.122104,0.33722312879905125
2,John Harvard Statue,tourism,42.3744636,-71.1171982,0.18097716910554165
3,Old Cambridge Baptist Church School,amenity,42.371748,-71.1141841,0.4363253602879506
4,St. Paul’s Choir School,amenity,42.3712797,-71.1157169,0.3605420820804643
5,Eda Kuhn Loeb Music Library,amenity,42.376964,-71.1170152,0.41899128708379735
6,Frances Loeb Library,amenity,42.3759405,-71.1139182,0.4963731451165025
7,Cabot Science Library,amenity,42.3761636,-71.1163126,0.36910466034822115
8,Physics Research Library,amenity,42.377305,-71.1172917,0.44682067485442534
9,Harvard University Psychology Research Library,amenity,42.3771216,-71.1135784,0.5995437387194518
10,Gutman Library,amenity,42.3749185,-71.1217096,0.2787241359216178
11,Harvard University Fine Arts Library,amenity,42.3763632,-71.1182075,0.32666812265101514
12,Harvard Law School Library,amenity,42.3779559,-71.1185838,0.4987973227569043
13,Harvard Kennedy School Library,amenity,42.3711732,-71.1216494,0.3390747120758688
14,Pusey Library,amenity,42.3736275,-71.1158822,0.2526897471545699
15,Sanders Theatre,amenity,42.3758873,-71.1146858,0.441416745718131
16,Busch-Reisinger Museum,tourism,42.3743515,-71.1143368,0.3917309760158797
17,Eliot House Library,amenity,42.3700745,-71.1219298,0.4506256997869075
18,J.P. Licks,amenity,42.3728601,-71.1174909,0.13765082045246232
19,Harvard Book Store,shop,42.3725414,-71.1163631,0.23637889619661662
20,American Repertory Theater,amenity,42.3748602,-71.1229496,0.36417530281677285
21,,amenity,42.3709799,-71.1231618,0.44436310921485034
22,,tourism,42.3731137,-71.1151605,0.3141046266115556
23,,amenity,42.3773566,-71.1214654,0.4787669447169084
24,,amenity,42.3761421,-71.1161019,0.37767364677123566
25,,amenity,42.3765573,-71.1202423,0.35888500510575716
26,,amenity,42.3765388,-71.1201982,0.3558519600240114
27,,amenity,42.376313,-71.1200732,0.3288708975228297
28,,amenity,42.3762773,-71.120088,0.3254205321477512
29,,amenity,42.3762444,-71.1201076,0.3224010762014497
30,Harvard Sq @ Garden St - Dawes Island,amenity,42.3753329,-71.1193686,0.2095062581400854
31,Statue of John Bridge,historic,42.37747,-71.1205485,0.46321700114543546
32,,amenity,42.3730067,-71.1188553,0.052343246776049034
33,,amenity,42.3724416,-71.1191888,0.1163858087078638
34,,amenity,42.3731543,-71.1187281,0.03962313529360676
35,,amenity,42.3723925,-71.1198601,0.14184741861148095
36,Fogg Museum,tourism,42.3739274,-71.1144331,0.37487036969118404
37,Arthur M. Sackler Gallery,tourism,42.3750967,-71.114144,0.4344571974324115
38,Bauer Cafe,amenity,42.3775378,-71.1153803,0.5384578821966716
39,,amenity,42.3748078,-71.1179678,0.16859332216074005
40,,amenity,42.3751972,-71.1133632,0.4978737236962904
41,,amenity,42.3755579,-71.1141035,0.46097723653874695
42,St. John's Chapel,amenity,42.3763538,-71.1247294,0.5740173323969762
43,Harvard Square,tourism,42.3734734,-71.1189431,0
44,The Sea Hag,amenity,42.3713955,-71.1167459,0.29330344948165765
45,Grafton Street Pub & Grill,amenity,42.3718723,-71.1208925,0.23960720980283218
46,Zinneken's,amenity,42.3712072,-71.1145182,0.4429451807455764
47,Blue Bikes - Harvard University River Houses at DeWolfe St / Cowperthwaite St,amenity,42.3691508,-71.1170078,0.5059253464339855
48,Bluebikes - Harvard Kennedy School at Bennett St / Eliot St,amenity,42.3719885,-71.1217612,0.28475141173608065
49,Bluebikes - Harvard Square at Brattle St / Elliot St,amenity,42.3733172,-71.1210019,0.17045767853538385
50,Bluebikes - Harvard Square at Mass Ave/ Dunster,amenity,42.373234,-71.1185418,0.042422496999650824
51,Bluebikes,amenity,42.3779201,-71.116919,0.5213159776844162
52,Blue Bikes - Harvard University Gund Hall at Quincy St / Kirkland S,amenity,42.376369,-71.114025,0.5172381433438565
53,,amenity,42.3771667,-71.1174776,0.4276413872030732
54,,amenity,42.3776439,-71.1169646,0.49108543726881443
55,,amenity,42.3774794,-71.1181907,0.4492829898270385
56,,amenity,42.3775206,-71.1185357,0.45081578002646694
57,,amenity,42.3772201,-71.1186549,0.4168619511619808
58,,amenity,42.3757292,-71.1155319,0.3764636306114936
59,,amenity,42.3757753,-71.1159271,0.3564920938575836
60,Grolier Poetry Bookshop,shop,42.3724116,-71.1164524,0.23663562476823238
61,Gnomon Copy,shop,42.3728437,-71.1173947,0.14545628977630903
62,,amenity,42.3690545,-71.1174825,0.5053818042655739
63,,amenity,42.3690611,-71.1174739,0.5048391085052283
64,,amenity,42.3690861,-71.1175077,0.5014798405826498
65,,amenity,42.3690791,-71.1175154,0.5020865956983611
66,,amenity,42.3692856,-71.118372,0.4675552422723349
67,,amenity,42.3691387,-71.1180075,0.48762850233768956
68,,amenity,42.3694047,-71.1187961,0.45211539505016485
69,Boston Burger Company,amenity,42.3708518,-71.1136824,0.522067963755262
70,Big Picture Framing,shop,42.3706304,-71.1138077,0.5278698909504433
71,MDC Bikeway Rack,amenity,42.3693984,-71.1180172,0.45903261595675915
72,Bosso Ramen Tavern,amenity,42.372168,-71.118338,0.1533305799838192
73,In Your Ear,shop,42.371777,-71.118337,0.19493766022748787
74,,amenity,42.371665,-71.119563,0.2072654083908513
75,L. A. Burdick,shop,42.3744284,-71.1220749,0.27890891761757863
76,Toscanni,amenity,42.3742959,-71.1219649,0.2651270226725179
77,,amenity,42.3741002,-71.1142663,0.39144238611475857
78,Freedom Square,historic,42.3716465,-71.1174205,0.238557097325806
79,,amenity,42.3762311,-71.1140363,0.5071126586249041
80,Portland Loo,amenity,42.3749189,-71.1189366,0.1605678346746591
81,Eastern Bank,amenity,42.3730115,-71.1181381,0.08383734840284378
82,Clover Food Lab,amenity,42.3729692,-71.1178668,0.1048592463633557
83,Lunette Optic,shop,42.3735974,-71.1209828,0.16856248807071167
84,Bank of America,amenity,42.373865,-71.1194127,0.05820810554103227
85,Club Passim,amenity,42.3742245,-71.1200134,0.12137614392112107
86,Mike's Pastry,shop,42.3729778,-71.119042,0.05565091728314745
87,Russell House Tavern,amenity,42.3731448,-71.1195115,0.05936393866626508
88,Tasty Burger,amenity,42.3725971,-71.1199019,0.12534581931198563
89,Chutney's,amenity,42.3726803,-71.1198198,0.11390985961400335
90,New England School of Language,amenity,42.3725026,-71.1195257,0.11803162906886612
91,,shop,42.3727822,-71.1203986,0.14236132007012617
92,Hunt's Photo & Video,shop,42.3728565,-71.120571,0.15057791021905909
93,The Sinclair,amenity,42.3740762,-71.120629,0.1541590668383066
94,Harvard Coop,shop,42.3736029,-71.1201241,0.09833030730725184
95,Raven Used Books,shop,42.3744989,-71.1198998,0.13851080515068923
96,FedEx,amenity,42.3727147,-71.121302,0.2117817804041183
97,Anthropologie,shop,42.3740655,-71.1218511,0.24838117124406192
98,Harvest,amenity,42.3737684,-71.1218285,0.23990258746051588
99,Cambridge Center for Adult Education,amenity,42.3736527,-71.121688,0.22695768206951
100,Henrietta's Table,amenity,42.3722812,-71.1233211,0.3841441980790347
101,Regattabar,amenity,42.372203,-71.1228944,0.3547277863785167
102,Noir,amenity,42.3723595,-71.1226705,0.33100429485774474
103,The Charles Hotel,tourism,42.3724623,-71.1230942,0.3598807511655062
104,The Red House,amenity,42.3723491,-71.1212504,0.22740426973738923
105,Charlie's Kitchen,amenity,42.3724072,-71.1215195,0.24301835765112267
106,IHOP,amenity,42.372063,-71.1214254,0.2575791498110283
107,Peet's Coffee,amenity,42.3726335,-71.1206838,0.171055644600349
108,Grendel's Den,amenity,42.3724217,-71.1209044,0.19935851575911373
109,Hokkaido Ramen Santouka,amenity,42.3721154,-71.1158389,0.2968611567732354
110,,amenity,42.3699488,-71.1131317,0.6183892354063089
111,,amenity,42.3699518,-71.1131418,0.6175343639872756
112,Aesop,shop,42.3741864,-71.1215177,0.22636217442885156
113,,shop,42.3742131,-71.1215381,0.2289843377688181
114,Hillside Cleaners,shop,42.3742322,-71.1215551,0.23105728091298705
115,J. August Harvard Shop,shop,42.3729132,-71.1177246,0.11808766333243997
116,Harvard Shop,shop,42.3719458,-71.1179978,0.1866969400630255
117,Cambridge Cleaners,shop,42.3713652,-71.1166707,0.299786963384213
118,Shake Shack,amenity,42.3722961,-71.1209868,0.21315981995194277
119,Brattle Theatre,amenity,42.3735328,-71.1214761,0.2087335834632466
120,Alden & Harlow,amenity,42.3735585,-71.1213903,0.20178389883694803
121,Felipe's Taqueria,amenity,42.3734706,-71.120511,0.12913973333524367
122,,amenity,42.3717554,-71.1177469,0.21476927675183805
123,,amenity,42.372028,-71.1184839,0.1649505495394664
124,,amenity,42.372351,-71.119422,0.130767685994214
125,,amenity,42.3721548,-71.1192301,0.14836605672260975
