,name,category,latitude,longitude,distance_from_center_km
0,,amenity,55.6309406,12.5800032,0.3608469629531021
1,Tip Top Trafik,amenity,55.632905,12.5814916,0.3001653427274485
2,Bilka,shop,55.6310777,12.5770018,0.28905693544305217
3,,amenity,55.6292169,12.5794698,0.5214626016224837
4,,amenity,55.6313284,12.5767594,0.2613076351547562
5,,amenity,55.6379049,12.5828172,0.5997491750841739
6,,amenity,55.6342889,12.5832966,0.4071890820553371
7,Burger King,amenity,55.6300005,12.5771361,0.4091641998011093
8,,amenity,55.633262,12.5767077,0.047798639942432754
9,,amenity,55.6295809,12.5790799,0.4754728377448168
10,Rasoi,amenity,55.6350236,12.5822757,0.3690756712098889
11,,shop,55.6317208,12.5747944,0.2554438261530875
12,WanLong Asian Market,shop,55.6334511,12.5817002,0.3018634560973325
13,København,tourism,55.6311617,12.5748147,0.30960034299394656
14,Bahne,shop,55.6302591,12.5778929,0.38502578797615233
15,Custom Made Ink,shop,55.6331548,12.5815877,0.2993856862820456
16,Bibiana,amenity,55.6349303,12.5822242,0.36197557262874674
17,Ørestadens Lægeklinik,amenity,55.6334357,12.5820716,0.3253168442203453
18,Sellmer Klinik,amenity,55.6334122,12.5820581,0.32469356358328805
19,Anders Munk,amenity,55.6333957,12.5820393,0.3236847834274639
20,Ørestad Montessori Vuggestue,amenity,55.6338998,12.5818435,0.31089052632292385
21,Ørestad Bibliotek,amenity,55.6312555,12.5809518,0.36993423323395863
22,The American Restaurant & Diner,amenity,55.6298278,12.5776373,0.4305264686213875
23,KFC,amenity,55.6298737,12.5772898,0.42369093550339565
24,GORMs Ørestad,amenity,55.6294108,12.5787044,0.4876747405242376
25,Milano Restaurant,amenity,55.6302032,12.5780316,0.3926303217622043
26,Fremad,tourism,55.6331778,12.5805317,0.23385984211113817
27,Balance,tourism,55.6330209,12.5804583,0.23418912325149116
28,Espresso House Fields,amenity,55.6302432,12.5770771,0.3820465125088031
29,Sunset Boulevard Fields,amenity,55.6303183,12.5783284,0.38389974517560327
30,Joe & The Juice,amenity,55.6305227,12.5759108,0.3565573562182269
31,Bella Center Hovedkøkken,amenity,55.6378896,12.5774633,0.47061863241263163
32,Bella Center Centralkøkken,amenity,55.6381128,12.578618,0.505629076714755
33,Espresso House Fields 1.,amenity,55.6301213,12.5776508,0.39813982251072993
34,Palæo Fields,amenity,55.6301366,12.5787771,0.4107340975596162
35,The Foodcorner,amenity,55.632231,12.580051,0.2541591154091525
36,,amenity,55.6310112,12.5731002,0.3819050881203262
37,Rema 1000,shop,55.6347027,12.5809494,0.27823967552032225
38,,amenity,55.637897,12.575996,0.4738273029136553
39,Field's,amenity,55.6297922,12.5755945,0.4401686624741581
40,,amenity,55.6304823,12.5787824,0.374097338230685
41,Ørestad Kebab,amenity,55.6293433,12.5795261,0.5092207449289502
42,,amenity,55.6366052,12.5810125,0.41575032309632826
43,H&M,shop,55.6308002,12.5769045,0.3199125923495052
44,,tourism,55.6354919,12.5824279,0.4014487091196533
45,BR,shop,55.630778,12.5766937,0.3227067369904107
