name,category,latitude,longitude,distance_from_center_km
Synagogue Beit Yossef,amenity,48.8569724,2.3588681,0.5195214938599837
Synagogue,amenity,48.8570939,2.35923,0.5013282147050806
Le Petit Marché,amenity,48.8572887,2.3660498,0.2527979000356011
Café des Musées,amenity,48.8580708,2.3643313,0.34216841090155975
Camille,amenity,48.8577772,2.3607273,0.4528478956010404
Le Loir dans la Théière,amenity,48.8562335,2.3610458,0.3402375694520415
L'Excuse,amenity,48.8533876,2.3620076,0.307086790142169
Chez Marianne,amenity,48.8577309,2.3586364,0.5737644492826858
Terrasse Sainte-Catherine,amenity,48.85559,2.3628253,0.19291347440990833
The Auld Alliance,amenity,48.8553135,2.3591057,0.4576745176723863
Café des Phares,amenity,48.8536169,2.368253,0.2681954265850917
Charles V,tourism,48.8534874,2.3618354,0.310817297563642
Hôtel de la Place des Vosges,tourism,48.8544261,2.3652418,0.0714070458494958
Maison de Victor Hugo,tourism,48.854799,2.3661358,0.06607183815027257
,amenity,48.851333,2.3624841,0.4646973306088402
Maison Européenne de la Photographie,amenity,48.8551205,2.3589562,0.46785454398660153
Banque de France,amenity,48.8535279,2.3681762,0.26987118615853073
Bibliothèque Forney,amenity,48.8534078,2.3591424,0.49014669279914946
,amenity,48.8583793,2.3677609,0.4093860400640456
Fontaine Wallace,amenity,48.8554435,2.3595073,0.429433723620694
,amenity,48.8539775,2.3697059,0.3430861229194372
MK2 Bastille (côté Faubourg Saint-Antoine),amenity,48.8531618,2.3707603,0.4511761518386313
Majestic Bastille,amenity,48.8539688,2.3699642,0.3612109935458925
Aux Désirs de Manon,shop,48.8551722,2.3601011,0.383980602249046
Cafe Français,amenity,48.8530786,2.368004,0.2954614327661325
Café Martini,amenity,48.8559133,2.3670811,0.15931360458417249
,tourism,48.8540496,2.3648282,0.118850171261983
La Banque Postale,amenity,48.8570725,2.3615477,0.35622465221392835
Hollmann in Paris,tourism,48.8512172,2.3598878,0.5854233196570833
Jacob Kaplan,historic,48.8569879,2.3587014,0.5314033897394219
Jimmy Fairly,shop,48.8569179,2.3614158,0.35353295592284845
Florence Kahn,shop,48.8572474,2.3590633,0.5200241698915399
Nilaï Paris,shop,48.8564568,2.3609807,0.3547621434022894
Clinique Vétérinaire Saint Paul,amenity,48.856638,2.359653,0.4518828444891732
The Different Company 香水,shop,48.856241,2.359371,0.4564879831664942
Les Elles,amenity,48.8562837,2.3592595,0.46569239174982247
Jhin tissus japonais,shop,48.8566522,2.3595513,0.4593776691371636
Maison Marais,amenity,48.8562488,2.3592163,0.46761952113308924
Au Petit Thaï,amenity,48.8557934,2.3601724,0.3871203367415898
Free People,shop,48.8561231,2.3614099,0.31085789818124043
Pitzman,amenity,48.8559109,2.3604155,0.37277280674585295
Kébi,amenity,48.855018,2.3631493,0.16019611207898343
Hôtel Jeanne d'Arc,tourism,48.8555439,2.3632131,0.16427939818564183
L'Escurial,amenity,48.8565624,2.3642007,0.18598880657439232
Double Fond,amenity,48.8553861,2.3625173,0.20954226020185515
Double Fond,amenity,48.855379,2.3625438,0.2074921030795951
Hôtel Turenne,tourism,48.8550844,2.3634743,0.13627534923914916
Le Bistrot De La Place,amenity,48.8553171,2.3630156,0.1722081321172517
Keko Momo,amenity,48.8552064,2.3625817,0.20236884808303318
CIC,amenity,48.8552557,2.3616146,0.2735496000349669
,amenity,48.8552125,2.3615428,0.27847992877736905
Franprix,shop,48.8552409,2.3597624,0.4091172862089811
Crédit du Nord,amenity,48.8538346,2.3644665,0.15087445262264074
Capitaine,amenity,48.8540797,2.3659063,0.11747341538494478
,amenity,48.8538463,2.3645345,0.1476490804820519
L'Arsenal,amenity,48.8540284,2.3650261,0.11748446078168881
Ma Bourgogne,amenity,48.8562564,2.3646952,0.14041701341815827
Auberge de Venise,amenity,48.8537619,2.3675235,0.21656717246911297
Pharmacie des Tournelles,amenity,48.8538727,2.3672318,0.19248563956598175
il toscano,amenity,48.8549787,2.3673463,0.148197994687557
Hippopotamus,amenity,48.8538867,2.3685355,0.2692251685889217
Pharmacie Centrale de la Bastille,amenity,48.8540855,2.368565,0.2611460746418543
BNP Paribas,amenity,48.854276,2.3691388,0.29289473616133677
BNP Paribas,amenity,48.8543409,2.369166,0.29273104765874913
,amenity,48.8540659,2.3616249,0.2938181726782473
L'Éléphant du Nil,amenity,48.855152,2.3602439,0.3734420024802211
Chez Mademoiselle,amenity,48.8543977,2.359967,0.400585064247669
Flora Magnifica,shop,48.8553844,2.3587402,0.4849626205881031
Fontaine Charlemagne,amenity,48.8540729,2.3612004,0.3226023299310274
Le Sully,amenity,48.8508419,2.3621258,0.5253034735670807
Galeria Basia Embiricos,shop,48.8533375,2.3606595,0.39301049095104407
Carrément Fleurs,shop,48.8514034,2.3627257,0.4499012369985595
Célestins Market,shop,48.8518766,2.3617125,0.4430354443829894
Le Petit Célestin,amenity,48.8521583,2.361307,0.43787310804092
L'Enoteca,amenity,48.8533605,2.361774,0.3226329926927911
Le Temps des Cerises,amenity,48.8525579,2.3641759,0.29146369437780656
,amenity,48.8527075,2.3633017,0.301566207838816
Boulangerie Patrick et Christine,shop,48.852658,2.3643423,0.2773899412675434
Hôtel Saint-Louis Marais,tourism,48.8523982,2.3636825,0.32034638633827134
Le Dindon en Laisse,amenity,48.8532015,2.3640647,0.227169400975374
Delice House,amenity,48.8544655,2.3628836,0.1916016139715743
Vins des Pyrénées,amenity,48.8536926,2.3643754,0.16801404738420822
Au Bouquet Saint-Paul,amenity,48.8545152,2.3627261,0.200722549707451
Famille Mary,shop,48.8543813,2.3630826,0.18170282739156912
Primeur du Marais,shop,48.8541115,2.3637427,0.15761523260106394
