name,category,latitude,longitude,distance_from_center_km
Rio Bravo,amenity,55.6742501,12.5730625,0.45733969801541347
Drop Inn,amenity,55.6763998,12.5733293,0.6095339579110213
Club Mambo,amenity,55.6750928,12.5721856,0.5565133666662833
Cafe Langebro,amenity,55.6691735,12.5802893,0.3266071400639518
Cafe Katz,amenity,55.6760515,12.5750716,0.5163022544177955
Teatermuseet,amenity,55.6747822,12.5786288,0.30728571803304444
Aristo,amenity,55.6692418,12.5791679,0.3115987140795587
Copenhagen Downtown Hostel,tourism,55.6759488,12.5742396,0.5351219121231319
Schrøder Cykler,shop,55.6690046,12.5808011,0.35287747074221326
Knippelsbro,amenity,55.6741811,12.5870225,0.547405505795107
Det Kongelige Bibliotek,amenity,55.6722332,12.5807101,0.09801519407177829
,amenity,55.6736415,12.5715056,0.5153100698203857
Cafe Rabes Have,amenity,55.6701414,12.5862015,0.48921952685668973
Dansk Jødisk Museum,tourism,55.6743653,12.5823025,0.3245657867083848
Café Haraldsborg,amenity,55.6675771,12.5780731,0.5018821986222876
Hiko Pizza & Sandwich,amenity,55.6678829,12.5784998,0.4649232693609786
Isbjørnen,amenity,55.6678361,12.5785286,0.4699472743173452
,amenity,55.6692729,12.5749634,0.40703484773659354
Ludv. Bjørns Vinhandel,shop,55.6717097,12.5753001,0.2475156511378316
Hatoba,amenity,55.6684525,12.5792029,0.399473738470336
Hair by Dahl,shop,55.6691371,12.5801082,0.3283738833420933
,amenity,55.6694533,12.5800867,0.2935207865635331
,shop,55.6713956,12.5743568,0.31247520496677356
,amenity,55.6688777,12.5738807,0.4853946960202301
,amenity,55.6758828,12.5713205,0.6543364426964234
Oscar,amenity,55.6757728,12.5715987,0.6330892090238406
Villa Vino,amenity,55.6764611,12.5713541,0.6966316181161919
TS Smørrebrød,amenity,55.6687378,12.5795676,0.3684752382624278
Men's Room,shop,55.6719266,12.5762163,0.18754127750069946
CPH Living,tourism,55.6701818,12.5800651,0.21413859164531202
Restaurant Viva,amenity,55.6703413,12.5803577,0.20294627093372375
Yilans,shop,55.671445,12.572257,0.4412441513190511
,amenity,55.6738788,12.5744359,0.3624454050913595
myKayak,amenity,55.6710512,12.5781709,0.12745331280955596
,amenity,55.6706445,12.5845792,0.3730121156483792
Lebara,shop,55.6704175,12.5857924,0.45302373264197265
,amenity,55.6710545,12.5725288,0.43327252751146117
,amenity,55.6700364,12.576323,0.28693439291992257
,amenity,55.6730804,12.5713139,0.5089095537384469
,amenity,55.6733239,12.5716211,0.497208523278235
,amenity,55.671319,12.5723828,0.4357873983664035
,amenity,55.6708788,12.5728897,0.416993296992008
,amenity,55.6711889,12.5722111,0.44924336823830074
,amenity,55.6697746,12.5714548,0.5482146892838717
,amenity,55.6706867,12.5733216,0.3988310519163263
,amenity,55.6713296,12.5716264,0.48244971368931744
,amenity,55.6711314,12.5715272,0.49266515314105896
,amenity,55.6711238,12.5724043,0.43899701848061273
,amenity,55.6716457,12.5727382,0.40832893051222113
,amenity,55.6716669,12.5712885,0.49890874732490137
,amenity,55.6709212,12.573732,0.3653398760600513
,amenity,55.6717803,12.5728656,0.39899254457873684
,amenity,55.6715988,12.5714628,0.4886858554445361
,amenity,55.6726372,12.5736729,0.3534398723271422
,amenity,55.6721864,12.5744294,0.29998325912857643
,amenity,55.6710951,12.5768152,0.18278008958494604
,amenity,55.6725608,12.5738339,0.34195270413600604
,amenity,55.6720866,12.5746332,0.2867663467986117
,amenity,55.6688169,12.5792436,0.35891795125284187
,leisure,55.6688537,12.5787272,0.3559985517434478
,amenity,55.6688645,12.5792918,0.35366047964380676
,amenity,55.6689659,12.5793838,0.34253004099464845
,amenity,55.6690215,12.5794234,0.33644327038537825
,amenity,55.6691518,12.5791901,0.3216158051985362
,amenity,55.6691882,12.5787592,0.31871853283146884
,amenity,55.6697381,12.579435,0.25680236948074614
,amenity,55.6741132,12.5830668,0.33577945498212414
,amenity,55.6731029,12.5813979,0.18244936490508548
,amenity,55.6704727,12.5854975,0.433560173019813
,amenity,55.6704675,12.5847292,0.3900544998588849
,amenity,55.6713532,12.5846179,0.3499883717289916
,amenity,55.6708631,12.5840533,0.3328938051213564
,amenity,55.6708328,12.5860864,0.45427781735464334
,amenity,55.6722925,12.5853314,0.38742717199426224
,amenity,55.6756638,12.5816681,0.4324832819835262
,amenity,55.6732967,12.5819792,0.22440311516427922
,amenity,55.6731417,12.5816587,0.19788012967575494
,amenity,55.6729577,12.5816125,0.1834626015346883
,amenity,55.6753719,12.583146,0.44667525491654986
,amenity,55.6749514,12.5847848,0.47847779128896245
,amenity,55.6732014,12.5817217,0.2051282304743245
,amenity,55.6729176,12.5811941,0.15948307371402642
,amenity,55.6757545,12.5819122,0.4475664813069865
,amenity,55.6751767,12.584825,0.4976096318771265
,amenity,55.6746027,12.5846203,0.4450908543850446
,amenity,55.6761665,12.5743564,0.5509192584476882
,amenity,55.6759934,12.57389,0.5521659669984003
,amenity,55.6760083,12.5755774,0.4968056640737196
,amenity,55.6759209,12.575476,0.49117647621338306
,amenity,55.6763145,12.5762961,0.5094961006706377
,amenity,55.6729849,12.5815399,0.18142376901038054
,amenity,55.6735565,12.5730531,0.42141102269448855
,amenity,55.6742068,12.5714518,0.5433455124410002
,amenity,55.6737077,12.5738846,0.38195187914214457
,amenity,55.6752668,12.5852411,0.5234212323643556
,amenity,55.6752393,12.5857017,0.542849482593747
,amenity,55.667685,12.577718,0.4936909289470285
,amenity,55.6738055,12.5737822,0.39292591291594087
,amenity,55.674789,12.576335,0.35483726105322616
,amenity,55.6752244,12.5758762,0.41125537028566933
,amenity,55.6760947,12.5735978,0.5723114455639688
,amenity,55.6761635,12.573482,0.5828326916246431
,amenity,55.6760584,12.5736541,0.5669464201087783
,amenity,55.676191,12.573174,0.5973345485222179
,amenity,55.6763871,12.5713378,0.6915680379236944
Japanspecialisten,shop,55.67337,12.5747649,0.3153301317800835
Vindrose Rejser,shop,55.6739346,12.5736739,0.40611512946887157
Rådhus Smørrebrød,amenity,55.674,12.5735253,0.4178884510858667
No,shop,55.6740581,12.5733862,0.4287309025442706
Tivoli Hallen,amenity,55.6746192,12.5730884,0.4793870881596049
Jaco Sko,shop,55.674853,12.5726306,0.5180549492128448
Funder,amenity,55.6749353,12.5724839,0.5309489549005271
Mojo Blues Bar,amenity,55.6756583,12.5735337,0.537489126314035
Danske Special Rejser,shop,55.6757702,12.57381,0.5357374067940394
Sommerfuglen Strik,shop,55.6760304,12.574421,0.5360641361603101
Zeba,shop,55.676295,12.5743839,0.5619707985852955
Søren's Værtshus,amenity,55.6762328,12.5741939,0.5627355530066276
Restaurant Puk,amenity,55.6761458,12.5739423,0.563849135157895
Vandkunsten Sandwich,amenity,55.6762831,12.5748189,0.5465846409594647
,shop,55.675932,12.574861,0.511766432382694
Bærbart,shop,55.6760984,12.5755727,0.5058792131367383
Buck,shop,55.6764039,12.5744243,0.5708882175146652
Bastard Cafe,amenity,55.6764713,12.5749848,0.5597821001220398
Hair by Pust,shop,55.6765022,12.5741292,0.590038589405787
Bravo Tours,shop,55.676139,12.572698,0.6124216850067704
Chez Elaine,shop,55.6762451,12.5712539,0.6844407840826731
Catho,shop,55.6764446,12.5719733,0.6682775630781395
Det Lille Teater,amenity,55.676293,12.571997,0.6549629370358981
Det Tredje Øje,shop,55.6763359,12.5712565,0.6912758245810544
,amenity,55.6705999,12.5750551,0.30564422068290176
,amenity,55.6686399,12.5808259,0.39235045859673745
,amenity,55.6680025,12.5845269,0.5611458470287634
,amenity,55.6680137,12.5844502,0.5572673477198326
,amenity,55.6682007,12.583396,0.5027935414706126
,amenity,55.6682063,12.5833292,0.5000615253387676
High school,amenity,55.675286,12.5735394,0.5069192231731108
,amenity,55.6696058,12.5815449,0.3089216683446346
,amenity,55.6696139,12.5815843,0.3093304051235979
,amenity,55.6696233,12.5816319,0.3098907494458243
,amenity,55.6697658,12.5809896,0.27741482974931014
,amenity,55.6698114,12.5809627,0.27208969179330356
,amenity,55.6698581,12.5809316,0.26654526171082993
,tourism,55.6698815,12.5807597,0.25987236103694117
,amenity,55.6699025,12.5809026,0.2612890780235093
,tourism,55.6699481,12.5807452,0.25267468554624184
