name,category,latitude,longitude,distance_from_center_km
Rio Bravo,amenity,55.6742501,12.5730625,0.4089497252431945
Burger King,amenity,55.6764661,12.5695482,0.27326668610845817
Dagmar,amenity,55.6763516,12.5664052,0.45280789861124493
Grand Teatret,amenity,55.6764656,12.5710077,0.20673874267358247
Gloria,amenity,55.6761121,12.5706741,0.25076052190729164
Europa 1989,amenity,55.6786502,12.5793688,0.40606753370440174
Zirup,amenity,55.6779484,12.5771986,0.2614087416328565
Kafe Kys Cafe & Bar,amenity,55.6781594,12.5784029,0.3381800794593048
Hoppe's,amenity,55.6780367,12.5780645,0.3161203171868831
Wanna B,amenity,55.6777283,12.5765653,0.22261310787457245
Drop Inn,amenity,55.6763998,12.5733293,0.17055889498853327
Il Ponte,amenity,55.6765807,12.5718891,0.16618117959202594
Wining & Dining,amenity,55.6797762,12.5754143,0.2545670009947299
Flottenheimer,amenity,55.6802012,12.5750978,0.28464804660714843
Ristorante Amalfi,amenity,55.679433,12.575349,0.2220136553506052
Mama Rosa,amenity,55.6790105,12.5805759,0.48907397311806
Pub & Sport,amenity,55.6782361,12.5668224,0.3929255835181416
The Square,tourism,55.6761571,12.5669727,0.42957683277199143
Club Mambo,amenity,55.6750928,12.5721856,0.31971499114212476
La Galette,amenity,55.6778757,12.5695321,0.22097418856842785
L'education Nationale,amenity,55.678228,12.569743,0.2103968606876463
Dubrovnik,amenity,55.6781715,12.5680739,0.3138659065720001
Krog's Fiskerestaurant,amenity,55.6777413,12.5785538,0.3472421682135663
Ankara,amenity,55.6811269,12.5741096,0.3629362789394259
Lord Nelson,amenity,55.677942,12.5768752,0.24105749287546974
Shahi,amenity,55.6787069,12.5727364,0.08936863534664044
Charlie Scotts,amenity,55.6786922,12.5732662,0.08675504582247763
Zoo Bar,amenity,55.681009,12.5806605,0.5896043335993773
Charlie's Bar,amenity,55.6806132,12.5802876,0.5453140020142101
Italiano,amenity,55.6792833,12.5738811,0.160332003377216
Wok On,amenity,55.6780529,12.5803408,0.45929792368707434
Diamanten,amenity,55.6774884,12.5775062,0.2848896219113468
Cafe Katz,amenity,55.6760515,12.5750716,0.24434298544657154
Marv & Ben,amenity,55.6772838,12.5769463,0.255635497507527
Beijing,amenity,55.6770342,12.5703318,0.19723584176145606
The Scottish Pub,amenity,55.6759526,12.567219,0.42709835271964347
Sabine's Cafeteria,amenity,55.6793628,12.5685853,0.3230364370548329
Brew Pub,amenity,55.6771072,12.5694984,0.24082679239303667
Nytorv,amenity,55.67721,12.5736687,0.08860949101202382
Teatermuseet,amenity,55.6747822,12.5786288,0.4957460816258258
Sushi Nørregade,amenity,55.6818262,12.5712029,0.4497077430664734
H.C. Ørsted,tourism,55.680807,12.5673715,0.4800089904476796
Reformationsmonument,historic,55.6791988,12.5717541,0.16355580613865162
Netto,shop,55.68107,12.572657,0.35119519596829446
The Moose,amenity,55.6810855,12.5804647,0.5847266857798267
Studenterhuset,amenity,55.681192,12.576282,0.4170745069615739
Danske Bank,amenity,55.677704,12.5723429,0.05038636163770111
Københavns Byret,amenity,55.6771844,12.5727507,0.0842937067397762
Fantask,shop,55.6791033,12.568532,0.312759394949275
,amenity,55.678164,12.571851,0.0796731644700291
"Det Teologiske Fakultet, Københavns Universitet",amenity,55.6809781,12.5773893,0.43636973911495125
Hotel SP34,tourism,55.6787261,12.566462,0.42358829742103693
7-Eleven Pilestræde,shop,55.6809339,12.5797502,0.5388492233991549
Sjus Bar,amenity,55.6810813,12.5798685,0.5549450068406381
Copenhagen Downtown Hostel,tourism,55.6759488,12.5742396,0.23234261028244027
Café Halvvejen,amenity,55.6809434,12.5739275,0.34082342771127694
,amenity,55.681389,12.5750693,0.40636605381401886
40,amenity,55.6816527,12.575973,0.4542837240931992
,amenity,55.680746,12.5726484,0.31526103459602517
Netto,shop,55.6821226,12.5764493,0.5142936627888455
Johan Herman Wessel og Johannes Ewald,tourism,55.6813367,12.5761813,0.4282473728872979
Paradis,shop,55.6784853,12.5743528,0.10344083039862344
Fantask,shop,55.6789247,12.5684396,0.3103586275081345
Kaffebaren Fiolstræde,amenity,55.6822824,12.5720569,0.4892889515207336
Hvide Lam,amenity,55.6821362,12.574042,0.47324476891567874
Espresso House - Rådhuspladsen,amenity,55.6758389,12.5673252,0.4281079252800208
7-Eleven,shop,55.6765502,12.5693383,0.27875853702725767
7-Eleven,shop,55.6779048,12.5804078,0.46329127851723917
Nimb Brasserie,amenity,55.6735634,12.5666399,0.6308172817463912
Hard Rock Cafe,amenity,55.6766219,12.5690951,0.2875701646689569
Paafuglen,amenity,55.6743171,12.5674776,0.5327445965759272
Rasmus Klump Pandekagehus,amenity,55.6745975,12.5691868,0.4426917258367217
,amenity,55.6809251,12.5736803,0.33661101378138475
7-Eleven Kultorvet,shop,55.6821656,12.5746651,0.4832206650578642
,amenity,55.6765105,12.5691583,0.2906629420989555
,amenity,55.6753063,12.5669861,0.47970864871408025
,amenity,55.6736415,12.5715056,0.4864282485577085
Burger King,amenity,55.675618,12.5667167,0.4736103707452188
KFC,amenity,55.6763789,12.5698406,0.2648905661348095
Ripley's Believe It or Not,tourism,55.6763244,12.5699496,0.2637685227416781
Politikens Boghal,shop,55.6768699,12.5685704,0.3048722637688101
Cafè Guldhornene,amenity,55.6772854,12.5693007,0.24594439861487452
Heidi's Bier Bar,amenity,55.6773855,12.5694568,0.23345566680658644
The Australien Bar,amenity,55.6779133,12.5705635,0.15602862680160515
La Boucherie,amenity,55.6779717,12.5707085,0.1470017864764755
Angels Club,amenity,55.6786341,12.5720535,0.10071855581270442
Trykbar,amenity,55.6822933,12.5804369,0.6730827581409864
Tycho Brahe,tourism,55.6813004,12.5758935,0.4165582133819175
Water Art,tourism,55.6814245,12.5755539,0.4205926119607341
Vaisenhus Apotek,amenity,55.681653,12.575572,0.4446801323777447
,amenity,55.6814533,12.5754001,0.42005493323673787
Arnold Busck,shop,55.681117,12.5760384,0.4024103609262313
,amenity,55.6780957,12.5716619,0.08901987038388905
,amenity,55.6755018,12.5687239,0.3827970344920891
Danske Bank,amenity,55.6786445,12.5801492,0.45417014660078
,amenity,55.6761326,12.5695853,0.2950930172950498
Spar nord,amenity,55.6759291,12.5711851,0.25092133339719097
,amenity,55.6758828,12.5713205,0.25170937245493435
Oscar,amenity,55.6757728,12.5715987,0.2560929515699545
Villa Vino,amenity,55.6764611,12.5713541,0.19441242165291434
Domhusets Smørrebrød,amenity,55.6767843,12.5720495,0.1413848325360872
,amenity,55.6773628,12.5758121,0.18500762736476753
K Cocktailbar,amenity,55.6779554,12.5807439,0.4844439777321992
Espresso House,amenity,55.6787126,12.580055,0.44975819357001706
Democratic Coffee,amenity,55.680835,12.573416,0.3250334913166296
Café Paludan,amenity,55.6803897,12.5732256,0.27484878126017226
,amenity,55.6775685,12.5726727,0.045869253265269916
,amenity,55.6777216,12.5722291,0.05594120591636951
Dedicated,shop,55.677503,12.571429,0.11183195018129981
Strøgshawarma,amenity,55.6774581,12.5717459,0.09667700369883594
Lagkagehuset,shop,55.6768888,12.570489,0.1977171535306342
Viking Souvenirs,shop,55.6770967,12.5705418,0.18231736594931158
Shawarma Grillhouse,amenity,55.6767719,12.5698547,0.23807197397641688
Bryggeriet Apollo,amenity,55.6748243,12.5661037,0.5564774395191185
The Old Irish Pub Vesterbrogade,amenity,55.6754762,12.5662861,0.504935898903661
The Old English Pub,amenity,55.6755287,12.5664591,0.4926191188823647
Cafe Rex,amenity,55.6812502,12.5794331,0.5465998681015035
Bo-Bi Bar,amenity,55.6810096,12.5786867,0.49406756251580064
Hornsleth,amenity,55.6805487,12.5771236,0.389004572666489
Sole D Italia,amenity,55.6799188,12.5764619,0.3092053454577952
