# input_address,,center_lat,40.7128,center_lon,-74.006,utm_zone,32618,bbox_wgs84,"[40.70834714, -74.01198527, 40.71725254, -74.00001394]",tagset_hash,93907903a35866088c5fb64bf40995acdb41bd818110628c364182d312d96954,overpass_url,https://overpass-api.de/api/interpreter,osm_base_ts,2025-09-22T13:36:16Z,id_list_sha256,1ebe597012d0e4e5514920f32c9e79d078f8680c504f4d2235eb4fc595963b44
type,id,lat,lon,name
node,597928298,40.71550810,-74.00924510,Chambers Street
node,889080115,40.71492970,-74.01104790,Twin Cafe
node,889081103,40.71504300,-74.01107100,Verizon
node,889083044,40.71517140,-74.01106430,Kaffe 1668
node,889447583,40.71549620,-74.00624270,N/A
node,889469733,40.71495670,-74.00942390,Le Pain Quotidien
node,889472802,40.71552200,-74.00898300,Starbucks
node,889473084,40.71557500,-74.00885700,The Frederick Hotel
node,889477001,40.71596700,-74.00996360,N/A
node,889585036,40.71561120,-74.01173760,Whole Foods Market
node,1329113669,40.71443850,-74.00288810,Triumph of the Human Spirit
node,1695334087,40.71100850,-74.00900180,Fulton Street
node,1967476778,40.71263880,-74.00668070,City Hall
node,2014092920,40.71328200,-74.00697800,City Hall
node,2024879489,40.71235000,-74.00507020,Brooklyn Bridge–City Hall
node,2035810356,40.71661520,-74.01147150,Chambers Street & Greenwich Street
node,2047269475,40.71019160,-74.00797020,Starbucks
node,2052618392,40.71299210,-74.00382040,Chambers Street
node,2052618395,40.71321810,-74.00916450,Park Place
node,2052618419,40.71081390,-74.00701030,Fulton Street
node,2054217376,40.71066800,-74.01102890,Cortlandt Street
node,2183039962,40.70908630,-74.00905290,Mr. Goods
node,2186522365,40.71323960,-74.01148450,Jasper’s Split Star
node,2432287570,40.71560170,-74.01146670,T-Mobile
node,2632446787,40.71349160,-74.00792470,New Amsterdam Library
node,2807977112,40.70891490,-74.01039320,Red Cube
node,2821326390,40.71177040,-74.00616120,Pace University Bookstore
node,2821326391,40.71168970,-74.00649310,Optimo Cigars
node,2821326392,40.71164330,-74.00668980,Starbucks
node,2821335220,40.71421060,-74.00602800,N/A
node,2821335224,40.71430860,-74.00640880,N/A
node,2823256858,40.71606310,-74.00856980,Bluestone Lane
node,2823256892,40.71517670,-74.00795850,Grocery
node,2823258425,40.71554120,-74.00801810,David Gage String Instruments
node,2823341403,40.71452790,-74.01126510,Target
node,2823341404,40.71539750,-74.01103220,bluemercury
node,2823448500,40.71403000,-74.00885940,Mike & Son Barbershop
node,2824696347,40.70995180,-74.00967580,N/A
node,2824696348,40.70972050,-74.00882380,Optima Beauty Supply
node,2824696370,40.71128840,-74.01027480,Épicerie Boulud
node,2825064871,40.70924340,-74.00788260,Suited
node,2825064883,40.70888770,-74.00540570,NY Brows & Beauty Salon
node,2825064884,40.70891350,-74.00544330,Fulton Supply Hardware
node,2825233200,40.71372790,-74.00843360,Takahachi Bakery
node,2825233330,40.71374400,-74.00507200,Hall des Lumières
node,2897265317,40.70965770,-74.00819920,N/A
node,2897265318,40.70967900,-74.00838210,d Elici
node,2897270433,40.71023820,-74.01064260,The Coffee Bean & Tea Leaf
node,2897876737,40.70927090,-74.00923690,N/A
node,3094612698,40.70873250,-74.00466560,55 Fulton Market
node,3190227166,40.71047520,-74.00759210,Flower World NYC
node,3190242171,40.70969830,-74.00650990,N/A
node,3381640179,40.70896720,-74.01092930,Joie de Vivre
node,3675375843,40.70977500,-74.00663000,7-Eleven
node,3675375844,40.70988870,-74.00687400,N/A
node,3938479922,40.71217900,-74.00818100,Starbucks
node,4015192918,40.70947530,-74.00167730,Franklin Sq El 1881
node,4015418418,40.71036700,-74.01123200,Cortlandt & Church El 1881
node,4015736090,40.71639080,-74.00935190,Morgan's Market
node,4057540459,40.71421290,-74.00837910,Church Street & Warren Street
node,4097207404,40.71123770,-74.01091800,Entrance to Oculus
node,4108495532,40.71090670,-74.00024330,Superfresh
node,4121316394,40.71270030,-74.00293610,5 in 1
node,4121316397,40.71334570,-74.00359150,City Store
node,4289013590,40.71183370,-74.00588150,Benjamin Franklin
node,4312078590,40.71177570,-74.00855720,Wodworth Building
node,4397706291,40.71005610,-74.01192040,Eataly
node,4402057800,40.70963850,-74.00989830,Gap
node,4451140205,40.71602650,-74.00256820,LinkNYC
node,4741335323,40.71081500,-74.01090740,Church Street/Cortland Street
node,4741335324,40.71078610,-74.01083850,Church Street/Cortland Street
node,4741335326,40.71053700,-74.01109450,Church Street/Cortland Street
node,4741335327,40.71050530,-74.01102250,Church Street & Cortland Street
node,4741335329,40.71009880,-74.01130030,Church Street & Liberty Street
node,4741335330,40.71011980,-74.01137310,N/A
node,4741335331,40.70995230,-74.01148180,Church Street/Liberty Street
node,4741335332,40.70994150,-74.01138160,Church Street/Liberty Street
node,4741363705,40.71126920,-74.00881220,Broadway/Vesey Street
node,4741363706,40.71133450,-74.00883020,Broadway & Vesey Street
node,4742692778,40.71274390,-74.00760570,Broadway & Park Place
node,4742692779,40.71269230,-74.00753190,Broadway/Park Place
node,4742692788,40.71231770,-74.00797590,Broadway & Park Place
node,4742692789,40.71226940,-74.00789710,Broadway/Park Place
node,4742692790,40.71214440,-74.00800060,Broadway/Barclay Street
node,4742692791,40.71218730,-74.00809140,Broadway & Barclay Street
node,4742692792,40.71187560,-74.00837240,Broadway & Barclay Street
node,4742692793,40.71184530,-74.00826300,Broadway/Barclay Street
node,4742697045,40.71381070,-74.00674370,Broadway & Warren Street
node,4742697046,40.71376850,-74.00663130,Broadway/Warren Street
node,4742697050,40.71287630,-74.00751380,Broadway & Murray Street
node,4742697051,40.71283470,-74.00740800,Broadway/Murray Street
node,4742717548,40.71386230,-74.00668430,Broadway/Warren Street
node,4742717549,40.71381530,-74.00659350,Broadway/Warren Street
node,4742733152,40.71500800,-74.00573130,Broadway & Reade Street
node,4742733153,40.71485560,-74.00573980,Broadway/Reade Street
node,4742733154,40.71393080,-74.00650010,Broadway/Chambers Street
node,4742733155,40.71396220,-74.00660290,Broadway & Chambers Street
node,4754091356,40.71613680,-74.00475140,Broadway & Worth Street
node,4754091357,40.71610490,-74.00468420,Broadway & Worth Street
node,4754091358,40.71586350,-74.00488850,Broadway & Thomas Street
node,4754091359,40.71589110,-74.00497450,Broadway & Thomas Street
node,4754091361,40.71544400,-74.00536370,Broadway & Thomas Street
node,4754091362,40.71545370,-74.00523550,Broadway/Thomas Street
node,4768361021,40.71011920,-74.00952830,Urban Outfitters
node,4768976021,40.71036350,-74.00776350,DP
node,4822806224,40.70981950,-74.00992510,Barthman's Sidewalk Clock
node,4844109221,40.71160720,-74.00873830,CVS Pharmacy
node,4872760222,40.71004670,-74.00718310,SH Styling Haircutters
node,4900466400,40.70875160,-74.00527090,Midtown Comics Downtown
node,4913112521,40.70908080,-74.00872920,Godiva Chocolatier
node,4913377824,40.70936350,-74.00844990,N/A
node,4922112707,40.71271410,-74.00387080,CB1
node,4927169521,40.70898930,-74.00554850,76 Fulton Convenience
node,4927169622,40.70859290,-74.00461180,N/A
node,4972026327,40.71637480,-74.00705080,Marine and Maritime Art
node,5037321599,40.71275460,-74.00921070,Four Seasons Private Residences New York Downtown;Four Seasons Hotel New York Downtown
node,5056373998,40.70931410,-74.01058680,Double Check
node,5057301845,40.70855640,-74.00951390,N/A
node,5058253773,40.71391310,-74.00596590,Chambers Street & Broadway
node,5058255017,40.71530210,-74.00211740,N/A
node,5058255300,40.71359420,-74.00655770,N/A
node,5083430024,40.71027410,-74.01072250,Big bus desk at century 21 departement store
node,5089272127,40.70929520,-74.00878080,D&J Grocery and Convenience Store
node,5089272128,40.70924810,-74.00880930,Salon De Louie
node,5089313323,40.71018980,-74.00990110,Aldo
node,5101080622,40.71364770,-74.01166690,Moleskine store
node,5101080623,40.71652710,-74.01021600,Gilded Ritual
node,5105725216,40.70979300,-74.01006790,Fulton Street
node,5105725451,40.71235150,-74.01171890,WTC Cortlandt
node,5106075989,40.71354860,-74.00987070,Park Place
node,5106075995,40.70996250,-74.00598570,Fulton Street
node,5106082641,40.70884310,-74.00720980,Fulton Street
node,5106263430,40.71268040,-74.00820740,Park Place
node,5106263522,40.71616170,-74.00858220,Chambers Street
node,5106263523,40.71619630,-74.00866380,Chambers Street
node,5106263524,40.71504190,-74.00973550,Chambers Street
node,5106263525,40.71500600,-74.00965480,Chambers Street
node,5117245053,40.70893010,-74.01079810,Broadway & Thames Street
node,5117245054,40.70864340,-74.01100620,N/A
node,5126272537,40.71305230,-74.00963690,Aroma Espresso Bar
node,5135824730,40.71683390,-74.00630650,Church Street & Worth Street
node,5135853006,40.71423510,-74.00847450,N/A
node,5135853007,40.71512410,-74.00767380,Church Street & Chambers Street
node,5135853008,40.71516350,-74.00774560,N/A
node,5135853009,40.71229920,-74.00985980,Church Street & Vesey Street
node,5135853010,40.71232460,-74.00992460,N/A
node,5163985622,40.71467660,-74.01010620,FranklyWines
node,5178500822,40.71081980,-74.00694680,Nassau Bar
node,5178539221,40.71085140,-74.00688230,Wine & Liquor
node,5180501061,40.71188830,-74.00690350,Park Row & Beekman Street
node,5187108521,40.70950410,-74.00957600,Maiden Lane Wine & Liquor
node,5216470721,40.71685840,-74.00641050,N/A
node,5265719510,40.71529900,-74.00888970,Chambers Street & West Broadway
